#CPU cycle, #miss
152460, 223
152604, 222
155098, 223
152984, 223
153764, 223
153350, 223
154584, 223
153854, 222
152864, 223
154464, 223
155040, 223
153338, 222
152808, 223
153986, 223
154074, 223
154246, 223
154254, 222
153152, 223
154316, 223
152458, 223
153608, 223
151612, 222
155324, 222
154088, 223
153294, 222
152956, 223
153362, 223
153372, 223
152350, 221
153326, 223
152336, 223
154512, 222
153404, 223
154100, 223
153884, 223
153810, 222
154600, 223
154960, 223
152024, 222
153428, 221
153472, 223
153046, 223
153650, 223
153946, 223
152602, 222
152882, 221
153566, 222
153896, 223
153468, 223
153208, 223
154244, 222
153472, 223
152740, 223
152470, 222
153734, 223
153654, 223
153224, 223
153844, 223
152314, 222
153832, 222
154298, 223
153518, 223
153648, 221
153440, 222
153686, 223
154180, 223
152192, 223
153674, 223
153738, 223
152122, 223
154400, 222
153246, 222
153098, 222
152872, 222
154520, 222
152138, 223
152480, 221
154704, 223
154284, 222
153992, 223
153412, 223
152432, 223
153784, 223
153692, 222
154322, 223
153626, 223
152922, 223
153772, 223
153496, 223
152852, 223
153618, 223
153508, 223
153642, 223
155538, 222
154778, 223
152582, 222
152766, 222
153748, 223
153722, 223
153324, 223
154518, 223
153544, 223
154170, 223
154082, 223
153022, 222
153002, 223
153666, 223
153548, 223
153222, 222
152148, 223
153620, 223
152640, 222
154036, 222
152792, 223
152934, 223
152860, 223
154012, 223
153236, 223
153292, 223
152456, 223
152438, 221
154638, 223
154006, 223
154450, 223
153262, 223
153830, 222
154394, 223
153780, 223
153442, 223
154658, 223
153652, 223
153768, 223
153542, 223
152958, 222
154340, 223
153986, 223
153802, 223
154690, 223
153284, 223
153922, 222
151464, 221
155264, 223
153464, 223
155234, 223
153750, 223
154344, 223
154294, 223
153702, 222
153746, 223
154518, 222
153282, 223
155024, 223
153700, 223
153300, 223
153256, 223
154360, 223
153096, 223
154054, 223
155112, 223
152512, 223
154076, 222
153670, 221
154252, 223
153790, 223
154478, 223
151278, 222
154214, 223
155304, 223
153056, 222
154740, 223
154444, 223
154882, 223
154182, 223
154136, 222
154398, 222
153398, 223
151576, 222
153248, 223
153986, 223
152784, 223
152532, 222
152226, 223
153552, 222
153434, 222
155190, 223
153278, 223
153314, 222
153728, 223
153582, 223
153582, 223
155272, 223
152500, 223
153718, 223
153876, 223
152110, 223
153710, 223
153218, 223
154412, 222
152982, 223
153092, 223
154090, 222
154698, 222
153336, 222
153568, 223
153938, 223
153714, 222
153516, 223
152258, 223
153616, 222
152862, 223
152312, 221
153016, 222
153360, 223
152436, 221
153356, 223
154294, 223
153852, 223
154826, 223
154100, 222
153806, 223
153046, 221
154188, 222
155612, 222
153808, 223
152220, 223
153500, 223
155086, 223
154028, 223
151172, 223
153928, 222
152766, 223
155178, 223
152140, 223
152736, 223
154522, 222
153534, 223
155576, 223
154318, 222
152630, 223
152682, 223
152430, 221
153268, 222
153674, 222
153166, 223
152374, 223
154028, 222
153512, 223
154508, 222
153646, 222
154448, 222
153558, 223
153594, 223
151704, 222
152604, 222
154688, 223
154478, 223
153360, 223
153350, 223
151798, 223
153450, 221
153336, 223
153800, 223
155008, 223
155160, 222
152916, 223
153830, 223
154344, 223
153234, 223
152724, 223
153014, 223
152628, 223
153068, 222
153036, 222
151986, 223
154792, 222
154054, 222
153096, 222
152476, 223
153478, 221
153256, 223
153462, 222
154256, 223
153138, 223
152974, 222
153322, 222
153178, 222
153542, 223
152892, 223
154118, 223
154524, 223
153758, 223
152980, 223
152728, 223
154206, 223
154530, 223
153824, 222
153368, 223
152880, 223
152860, 223
152260, 223
152636, 223
152868, 223
153118, 221
154206, 223
153014, 223
152808, 223
152782, 222
153858, 223
152648, 222
152232, 222
153848, 221
154280, 223
153352, 223
152850, 223
151826, 223
152868, 223
153000, 223
153770, 223
152818, 223
152808, 223
153932, 222
154040, 223
155068, 222
152296, 223
153132, 223
152990, 223
153050, 223
153520, 221
153584, 222
151812, 223
152186, 223
154180, 223
152882, 223
154292, 223
153260, 223
153152, 223
153276, 223
153576, 223
153324, 223
153698, 223
153576, 223
152098, 223
153794, 223
153442, 223
155734, 223
153696, 222
152742, 223
153268, 223
153188, 223
154982, 221
154264, 223
154344, 223
152890, 223
154182, 223
153440, 223
153648, 223
153448, 222
153660, 223
153850, 222
153652, 223
154538, 223
152768, 222
153388, 222
152820, 222
153720, 222
152598, 223
152342, 223
152806, 223
153260, 223
153850, 223
153978, 222
154708, 223
151952, 223
153154, 222
151852, 222
153224, 222
152386, 222
153346, 223
152292, 223
152280, 223
153290, 223
154232, 223
153088, 223
153140, 222
152806, 222
154460, 221
153314, 223
154422, 223
153208, 223
154818, 222
154920, 223
153236, 222
153530, 223
152986, 222
154200, 223
153780, 223
154214, 223
152132, 222
154474, 223
153766, 223
153906, 223
154590, 222
153928, 223
153270, 223
153960, 222
155468, 222
152012, 223
154024, 223
153364, 223
153366, 223
152970, 223
152278, 223
153734, 222
153798, 223
152994, 223
153792, 222
153504, 222
152876, 223
153800, 222
152834, 223
154452, 223
152352, 223
153034, 223
153254, 223
153340, 223
154500, 223
153584, 223
153664, 223
152768, 223
154178, 223
153818, 223
152736, 223
154432, 223
151904, 223
153702, 223
153438, 223
152742, 223
154714, 223
154296, 223
152710, 223
155250, 222
152596, 223
154536, 223
153686, 223
152552, 221
152444, 223
153606, 223
153884, 223
153538, 223
154536, 223
152906, 222
153834, 223
153732, 222
152460, 223
153590, 222
153072, 222
152352, 223
153814, 223
151708, 223
153634, 223
152386, 223
153924, 223
153716, 222
154320, 223
153048, 222
153838, 223
153872, 222
153320, 222
152630, 222
152118, 223
153166, 223
154306, 222
153972, 223
154428, 221
152056, 222
153468, 223
153020, 223
154266, 223
154618, 223
153132, 223
154110, 223
154176, 222
154696, 223
153996, 223
154438, 223
154196, 223
153170, 223
153590, 223
154006, 223
153074, 223
153450, 222
154130, 223
153302, 222
153886, 223
152092, 223
155030, 223
153786, 223
154230, 222
154878, 223
154092, 223
154280, 222
153420, 223
153448, 223
153434, 223
154042, 222
154900, 222
154166, 222
154476, 223
153062, 223
153120, 222
153298, 223
153418, 223
154850, 223
153126, 222
154264, 222
152170, 223
152046, 221
154010, 223
153878, 223
152158, 223
154582, 223
152744, 223
152588, 222
153796, 223
153818, 223
151890, 223
155020, 223
153956, 223
152160, 222
153472, 222
153464, 223
152748, 223
152708, 223
155276, 223
153216, 223
153116, 222
152858, 223
153172, 223
153264, 223
153648, 223
154136, 222
153974, 223
154434, 223
153318, 221
151660, 223
153446, 223
152878, 223
152902, 223
153432, 223
154154, 223
152750, 223
153460, 223
152918, 223
152700, 223
153986, 223
154088, 223
153360, 223
153364, 223
154386, 223
153868, 222
153514, 222
153922, 223
154020, 223
151638, 223
153000, 223
152978, 223
152756, 223
153652, 223
154054, 223
153282, 222
153156, 223
154430, 223
152752, 223
154118, 223
154078, 222
153634, 223
153164, 223
153516, 223
153002, 223
153806, 221
153620, 223
152924, 223
154456, 222
153764, 223
153088, 223
154052, 221
153920, 223
152328, 223
152362, 223
154070, 223
153616, 222
153292, 223
152988, 223
152630, 223
153756, 223
153342, 223
153876, 222
153058, 222
153026, 223
153684, 223
152190, 223
153718, 222
152846, 223
153756, 223
153096, 223
153194, 223
152794, 223
153548, 223
154626, 223
153692, 222
153594, 223
152616, 222
153036, 223
154786, 223
153810, 223
154146, 222
151812, 223
153270, 222
152992, 222
153778, 223
153844, 223
152722, 221
154700, 223
153620, 222
154550, 224
152636, 223
152828, 223
152664, 223
152792, 223
154406, 222
153562, 223
151422, 223
153712, 223
153630, 223
153486, 223
154446, 223
153066, 223
152124, 221
153794, 222
153100, 223
152868, 221
155372, 223
152910, 223
153732, 223
153190, 221
152666, 223
153262, 222
153624, 223
152936, 223
153148, 222
152014, 223
153396, 223
152592, 222
154166, 223
153388, 223
153720, 223
153764, 222
152612, 222
153430, 223
153258, 222
153734, 223
153610, 223
154498, 223
154058, 222
154828, 223
153574, 223
152794, 223
153908, 223
154206, 223
154448, 223
153258, 223
154200, 222
153584, 223
153764, 222
154016, 222
153474, 223
154618, 223
153378, 222
154064, 223
153572, 222
152426, 223
155068, 223
154418, 221
154272, 223
153592, 223
152912, 222
155130, 223
152994, 223
153124, 222
154116, 223
154770, 222
154332, 222
153708, 223
154154, 223
153528, 222
154986, 223
152816, 223
153670, 223
153356, 223
153034, 223
154520, 222
154990, 223
153718, 223
153470, 222
153986, 223
152920, 223
153452, 223
154512, 223
153888, 223
153444, 222
153504, 222
153650, 223
154158, 223
154972, 222
153528, 223
152952, 223
153328, 223
154634, 223
152850, 223
154234, 223
153434, 221
154182, 223
153006, 222
153752, 223
153542, 223
152918, 223
153750, 223
154432, 223
153514, 222
154302, 223
152342, 223
152282, 222
153646, 223
152900, 223
154800, 222
154232, 223
154494, 222
153128, 223
153730, 223
152370, 222
153252, 223
154606, 223
153774, 223
153774, 223
154234, 223
153794, 223
152780, 223
151820, 223
154672, 223
152256, 223
153514, 221
154888, 223
153286, 223
154252, 223
154294, 223
153926, 223
153684, 223
153558, 222
154028, 223
152852, 223
153406, 223
154482, 221
153396, 222
152734, 222
152496, 221
153488, 222
153516, 222
154514, 223
153826, 222
153028, 223
153188, 223
152664, 223
154556, 223
153706, 223
153270, 222
153178, 223
153756, 222
154182, 222
153390, 223
152324, 222
154866, 223
152816, 223
153696, 222
154256, 223
153988, 223
152116, 223
154478, 223
153814, 223
153904, 223
153022, 222
153666, 223
154050, 222
154222, 223
153832, 223
153292, 223
153312, 222
154202, 222
153914, 222
153330, 223
154388, 223
155356, 223
153370, 223
152644, 221
154438, 223
153240, 223
154426, 222
153054, 223
152342, 222
153100, 223
152822, 223
153054, 223
152260, 222
153758, 223
154248, 223
152540, 222
151662, 223
153764, 223
154278, 223
153340, 223
153238, 223
153508, 222
153580, 223
155172, 222
152552, 223
153994, 223
154280, 223
154276, 223
153248, 223
154488, 223
153142, 223
153154, 223
154536, 223
152294, 222
153480, 223
153540, 223
153426, 222
151824, 223
153524, 223
153914, 223
153650, 223
153236, 223
155428, 223
155290, 223
153232, 223
153686, 222
153258, 223
155092, 223
153668, 222
154318, 223
154480, 223
152962, 223
154510, 223
154070, 223
153274, 222
153576, 222
153070, 223
153336, 223
153878, 222
153614, 223
152764, 222
152498, 223
154250, 223
154890, 223
154928, 223
152918, 223
154276, 223
153700, 223
152616, 222
153682, 222
153736, 223
154558, 223
153124, 223
152636, 222
153034, 223
152628, 222
152490, 223
153000, 222
154232, 223
151938, 223
154556, 223
153292, 222
153434, 223
154466, 222
152986, 223
153656, 223
155056, 223
153686, 223
153002, 223
153698, 223
153868, 223
152888, 223
153568, 223
154466, 222
153936, 222
153228, 223
152004, 223
152374, 223
151516, 223
153002, 223
153930, 222
152942, 222
153810, 223
152916, 223
154314, 223
153236, 223
153174, 223
153086, 223
153412, 223
154738, 223
153356, 223
154208, 223
152546, 223
154046, 223
152832, 222
153950, 222
153962, 223
153064, 223
154166, 223
153034, 222
154030, 223
154282, 223
154472, 222
152830, 223
153216, 223
151886, 220
154450, 223
153864, 223
154800, 223
152448, 222
153756, 222
152660, 223
152836, 223
152950, 223
152634, 223
153464, 222
154446, 223
152948, 223
153830, 223
154380, 223
153960, 223
153838, 221
153112, 222
153512, 222
154268, 223
153082, 223
152540, 223
153898, 223
154364, 223
153882, 222
153748, 223
152224, 223
152586, 223
153026, 223
152660, 223
153256, 223
153478, 223
152906, 223
152144, 223
153810, 223
154104, 223
154230, 222
153238, 222
154268, 223
152730, 223
153150, 223
152982, 223
152864, 223
152656, 223
153240, 223
153934, 223
154076, 222
152410, 223
152052, 222
154098, 223
153596, 223
153768, 223
153282, 223
152998, 223
153340, 223
152778, 223
152536, 223
153806, 223
152890, 223
153296, 223
153932, 223
153548, 223
153528, 223
153776, 223
154124, 223
154570, 223
153250, 223
154586, 222
152492, 221
152874, 223
153830, 223
153660, 221
153448, 222
152870, 223
152488, 223
153056, 222
