#CPU cycle, #miss
119452, 263
119142, 262
119732, 269
120546, 272
119636, 270
119636, 270
119636, 270
119626, 266
119238, 263
120414, 272
119402, 265
120546, 273
119732, 270
119704, 267
119678, 266
119704, 269
119620, 268
119832, 271
120658, 274
119972, 272
119832, 271
119732, 270
119704, 270
119368, 267
119634, 266
119928, 269
119844, 267
120692, 274
119704, 268
119626, 268
119620, 267
119738, 270
119480, 267
120736, 274
119494, 265
119984, 271
119816, 268
120736, 275
119382, 265
119480, 268
119816, 270
119620, 266
119992, 273
119732, 270
120782, 276
119590, 266
120736, 274
119592, 269
119620, 268
120004, 273
120500, 272
119136, 261
120000, 273
119256, 262
120004, 273
120782, 278
119592, 266
120876, 278
119480, 268
120836, 280
119510, 265
119508, 269
120574, 272
119508, 269
120518, 272
119844, 269
120546, 272
120684, 274
119736, 268
119620, 269
119732, 268
119928, 270
119538, 265
120002, 273
119710, 269
119024, 260
120156, 274
120540, 272
119732, 270
119508, 266
119972, 272
119844, 271
119620, 266
119652, 266
119832, 271
119844, 270
120658, 274
119314, 262
119704, 269
119996, 273
119704, 267
120414, 272
119360, 263
119732, 268
119372, 266
120156, 274
119844, 269
119630, 266
119368, 265
119636, 270
120006, 273
119998, 273
119704, 266
119850, 270
119972, 272
119872, 271
119732, 269
119480, 267
119972, 272
119832, 271
120540, 272
119636, 270
119480, 267
120454, 273
120512, 272
119592, 268
119626, 269
119972, 272
119984, 271
118826, 258
120486, 273
120574, 272
119636, 270
120540, 272
120628, 274
119732, 269
120752, 276
119704, 266
119972, 272
119368, 265
119972, 272
119972, 272
119822, 269
120574, 272
119518, 265
119636, 270
119704, 270
119816, 270
120628, 274
119648, 266
119592, 266
120440, 271
120138, 275
119210, 264
119832, 271
120628, 274
119816, 267
120850, 276
119704, 270
120736, 274
119454, 263
119592, 269
119398, 265
119636, 270
119522, 264
119732, 267
119626, 265
119636, 270
119704, 270
119142, 264
119990, 273
119790, 267
119738, 266
120736, 275
119816, 267
119972, 272
119522, 264
119396, 267
119476, 269
