#CPU cycle, #miss
113336, 204
113504, 205
113528, 205
113532, 205
113334, 204
113504, 205
113334, 204
113334, 204
113532, 205
113654, 205
113362, 203
113532, 204
113504, 204
113504, 205
113362, 204
113362, 203
113522, 205
113344, 203
113654, 205
113334, 204
113504, 204
113334, 204
113362, 204
113504, 205
113334, 204
113504, 205
113504, 205
113362, 203
113532, 204
113362, 204
113362, 203
113654, 205
113362, 203
113334, 204
113504, 204
113504, 205
113528, 205
113532, 204
113504, 205
113534, 204
113362, 203
113654, 205
113504, 205
113344, 203
113346, 204
113654, 205
113532, 205
113362, 203
113334, 204
113334, 204
113654, 205
113504, 205
113504, 204
113532, 204
113334, 204
113532, 204
113362, 203
113532, 205
113654, 205
113654, 205
113532, 204
113654, 205
113510, 204
113532, 204
113532, 204
113504, 205
113532, 205
113334, 204
113528, 205
113654, 205
113504, 205
113528, 205
113362, 203
113532, 204
113198, 202
113532, 204
113522, 205
113532, 204
113532, 204
113336, 204
113532, 205
113654, 205
113532, 204
113532, 205
113532, 204
113532, 204
113532, 205
113362, 203
113362, 203
113528, 205
113362, 203
113532, 204
113334, 204
113654, 205
113334, 203
113654, 205
113198, 202
113532, 204
113334, 204
113532, 204
113334, 204
113504, 205
113510, 204
113504, 204
113654, 205
113362, 203
113362, 204
113504, 205
113654, 205
113654, 205
113532, 204
113654, 205
113504, 204
113334, 204
113532, 204
113530, 205
113532, 204
113528, 205
113654, 205
113654, 205
113504, 205
113336, 204
113334, 204
113654, 205
113654, 205
113504, 205
113504, 205
113362, 203
113362, 203
113334, 203
113532, 204
113334, 204
113504, 205
113334, 204
113362, 203
113504, 205
113334, 204
113504, 204
113504, 205
113504, 205
113654, 205
113504, 205
113504, 205
113654, 205
113532, 205
113362, 203
113504, 204
113334, 204
113532, 204
113362, 203
113654, 205
113532, 204
113532, 204
113504, 205
113654, 205
113654, 205
113532, 205
113362, 204
113224, 203
113334, 204
113504, 205
113334, 204
113504, 205
113532, 205
113344, 203
113504, 205
113334, 204
113226, 202
113504, 205
113654, 205
113334, 204
113532, 204
113362, 203
113532, 205
113532, 204
113654, 205
113350, 203
113504, 204
113362, 202
113532, 205
113504, 205
113532, 204
113362, 203
113362, 203
113334, 204
113532, 204
113334, 204
113532, 204
113528, 205
113654, 205
113362, 203
113532, 204
113654, 205
113362, 204
113362, 203
113528, 205
113654, 205
113362, 203
113654, 205
113532, 204
113334, 204
113654, 205
113532, 204
113362, 203
113654, 205
113504, 205
113504, 204
113654, 205
113334, 204
113510, 205
113336, 204
113654, 205
113334, 204
113344, 203
113532, 204
113362, 204
113532, 204
113362, 203
113528, 205
113654, 205
113362, 204
113532, 204
113532, 204
113532, 205
113654, 205
113362, 203
113334, 204
113654, 205
113532, 204
113336, 204
113504, 204
113530, 205
113334, 204
113532, 204
113504, 205
113362, 203
113362, 204
113504, 205
113522, 205
113504, 205
113528, 205
113334, 204
113654, 205
113334, 204
113336, 204
113532, 205
113334, 203
113532, 204
113532, 204
113528, 205
113504, 205
113528, 205
113334, 204
113362, 204
113528, 205
113362, 203
113532, 205
113226, 202
113532, 204
113532, 204
113226, 202
113532, 204
113532, 205
113532, 204
113504, 205
113532, 204
113362, 203
113362, 203
113532, 204
113362, 203
113530, 205
113504, 205
113504, 205
113334, 203
113224, 203
113362, 203
113654, 205
113532, 205
113522, 205
113362, 203
113654, 205
113362, 204
113334, 204
113532, 205
113362, 203
113350, 204
113654, 205
113654, 205
113334, 204
113532, 204
113528, 205
113654, 205
113654, 205
113362, 203
113504, 205
113654, 205
113528, 205
113654, 205
113654, 205
113362, 203
113654, 205
113334, 204
113654, 205
113362, 203
113528, 205
113504, 205
113226, 202
113654, 205
113336, 204
113362, 203
113334, 204
113532, 204
113362, 203
113532, 204
113654, 205
113528, 205
113336, 204
113334, 204
113334, 203
113532, 204
113532, 205
113654, 205
113654, 205
113654, 205
113362, 203
113532, 204
113654, 205
113532, 204
113356, 204
113362, 203
113524, 205
113334, 204
113532, 204
113362, 204
113528, 205
113362, 203
113532, 204
113530, 205
113532, 204
113528, 205
113362, 203
113654, 205
113334, 204
113532, 204
113532, 204
113334, 204
113528, 205
113654, 205
113346, 203
113654, 205
113532, 204
113654, 205
113654, 205
113504, 205
113334, 204
113334, 204
113654, 205
113504, 205
113528, 205
113334, 204
113532, 204
113532, 205
113504, 204
113362, 203
113504, 205
113334, 204
113336, 203
113654, 205
113336, 204
113532, 204
113654, 205
113532, 204
113654, 205
113528, 205
113532, 204
113532, 204
113334, 204
113654, 205
113654, 205
113654, 205
113654, 205
113504, 205
113654, 205
113362, 203
113654, 205
113336, 204
113334, 204
113334, 204
113336, 204
113504, 204
113654, 205
113532, 204
113532, 204
113362, 203
113532, 204
113362, 203
113532, 205
113532, 205
113532, 204
113362, 203
113654, 205
113334, 204
113338, 204
113654, 205
113362, 203
113654, 205
113522, 205
113528, 205
113532, 204
113334, 204
113362, 204
113356, 204
113504, 205
113532, 204
113528, 205
113504, 204
113362, 203
113654, 205
113504, 205
113654, 205
113362, 203
113528, 205
113334, 204
113532, 204
113654, 205
113532, 205
113654, 205
113362, 204
113532, 204
113504, 205
113532, 204
113532, 204
113654, 205
113654, 205
113504, 205
113336, 204
113504, 204
113532, 205
113532, 204
113532, 204
113654, 205
113504, 205
113334, 204
113532, 205
113334, 204
113336, 204
113362, 203
113336, 204
113334, 204
113654, 205
113504, 205
113226, 202
113532, 205
113504, 205
113362, 203
113654, 205
113362, 203
113336, 204
113528, 205
113654, 205
113532, 204
113528, 205
113350, 203
113532, 204
113504, 205
113532, 205
113362, 203
113654, 205
113344, 203
113504, 205
113334, 203
113522, 205
113362, 204
113362, 203
113362, 203
113528, 205
113504, 205
113504, 204
113504, 205
113362, 204
113362, 203
113334, 204
113334, 204
113532, 204
113532, 205
113654, 205
113362, 203
113654, 205
113532, 204
113504, 205
113198, 202
113362, 203
113334, 204
113504, 205
113654, 205
113198, 202
113532, 205
113362, 203
113336, 204
113654, 205
113504, 205
113516, 205
113532, 204
113532, 205
113334, 204
113504, 205
113532, 204
113654, 205
113504, 205
113334, 204
113344, 203
113504, 205
113528, 205
113504, 205
113350, 204
113532, 204
113334, 204
113528, 205
113654, 205
113510, 204
113532, 205
113654, 205
113532, 204
113532, 204
113334, 204
113504, 205
113532, 205
113532, 204
113654, 205
113334, 204
113334, 204
113654, 205
113532, 204
113654, 205
113532, 204
113362, 203
113504, 205
113654, 205
113362, 203
113528, 205
113654, 205
113362, 203
113350, 204
113532, 204
113512, 205
113356, 204
113504, 205
113336, 204
113654, 205
113334, 204
113532, 204
113336, 204
113532, 204
113504, 205
113362, 203
113532, 204
113654, 205
113504, 205
113226, 202
113654, 205
113532, 204
113362, 204
113504, 205
113532, 204
113532, 205
113528, 205
113334, 204
113654, 205
113334, 204
113532, 204
113532, 205
113654, 205
113336, 204
113654, 205
113654, 205
113504, 205
113362, 204
113336, 204
113334, 204
113504, 205
113532, 205
113334, 204
113532, 204
113336, 204
113362, 203
113654, 205
113532, 204
113362, 203
113504, 204
113654, 205
113334, 203
113654, 205
113654, 205
113334, 203
113504, 205
113532, 204
113362, 203
113522, 205
113334, 204
113532, 204
113654, 205
113504, 205
113226, 202
113654, 205
113532, 204
113654, 205
113504, 205
113532, 204
113532, 204
113504, 205
113532, 204
113504, 205
113654, 205
113338, 203
113530, 205
113524, 205
113334, 204
113504, 205
113654, 205
113654, 205
113532, 204
113532, 204
113532, 204
113532, 204
113504, 205
113362, 203
113532, 204
113654, 205
113532, 204
113528, 205
113504, 205
113528, 205
113654, 205
113362, 203
113336, 204
113334, 204
113504, 205
113362, 203
113362, 203
113334, 204
113334, 204
113362, 203
113532, 204
113504, 205
113654, 205
113334, 204
113654, 205
113532, 205
113362, 203
113334, 204
113504, 205
113532, 204
113334, 204
113528, 205
113362, 204
113532, 204
113532, 204
113532, 204
113532, 204
113336, 204
113532, 204
113504, 205
113532, 205
113334, 204
113522, 205
113362, 203
113362, 203
113334, 204
113528, 205
113504, 205
113226, 202
113336, 204
113532, 204
113532, 204
113334, 204
113532, 205
113654, 205
113654, 205
113334, 204
113504, 204
113362, 204
113334, 204
113532, 205
113654, 205
113362, 203
113654, 205
113504, 204
113362, 203
113654, 205
113334, 204
113362, 204
113528, 205
113362, 203
113504, 204
113532, 204
113654, 205
113506, 204
113654, 205
113362, 203
113334, 204
113504, 204
113338, 204
113362, 203
113504, 205
113504, 205
113654, 205
113362, 203
113362, 203
113334, 204
113528, 205
113362, 204
113532, 205
113654, 205
113504, 205
113334, 204
113224, 203
113504, 205
113334, 204
113654, 205
113362, 203
113334, 204
113344, 204
113362, 203
113504, 205
113532, 204
113532, 205
113654, 205
113654, 205
113334, 203
113532, 204
113532, 204
113338, 204
113528, 205
113362, 203
113334, 204
113504, 205
113362, 203
113654, 205
113506, 204
113654, 205
113532, 204
113654, 205
113530, 205
113504, 205
113532, 205
113504, 204
113504, 205
113654, 205
113504, 205
113504, 205
113224, 203
113654, 205
113532, 204
113654, 205
113362, 203
113504, 204
113362, 204
113654, 205
113334, 204
113334, 204
113362, 203
113532, 204
113532, 204
113334, 204
113654, 205
113654, 205
113532, 205
113362, 203
113532, 204
113654, 205
113528, 205
113336, 204
113654, 205
113362, 203
113510, 204
113532, 204
113654, 205
113504, 204
113334, 204
113654, 205
113654, 205
113350, 203
113532, 204
113362, 203
113504, 204
113654, 205
113362, 203
113654, 205
113532, 204
113532, 204
113362, 204
113504, 205
113532, 205
113504, 204
113532, 204
113528, 205
113362, 203
113528, 205
113334, 204
113532, 204
113334, 204
113532, 204
113654, 205
113504, 205
113336, 204
113654, 205
113362, 203
113334, 204
113532, 204
113654, 205
113654, 205
113532, 204
113504, 205
113334, 204
113362, 204
113504, 205
113336, 204
113334, 203
113362, 203
113654, 205
113334, 203
113528, 205
113350, 204
113654, 205
113362, 203
113654, 205
113334, 204
113532, 204
113504, 205
113334, 204
113334, 204
113522, 205
113334, 204
113504, 204
113530, 205
113334, 204
113532, 204
113532, 204
113654, 205
113362, 203
113532, 204
113654, 205
113504, 204
113504, 205
113504, 205
113504, 204
113504, 205
113334, 204
113654, 205
113532, 204
113532, 204
113532, 204
113654, 205
113532, 205
113362, 203
113532, 204
113334, 204
113532, 204
113362, 204
113528, 205
113522, 205
113532, 204
113522, 205
113654, 205
113532, 204
113334, 204
113510, 204
113654, 205
113362, 204
113528, 205
113532, 204
113534, 204
113532, 204
113532, 204
113504, 205
113504, 205
113532, 205
113654, 205
113504, 205
113654, 205
113532, 204
113532, 205
113654, 205
113224, 203
113218, 203
113504, 205
113654, 205
113654, 205
113654, 205
113362, 204
113504, 205
113334, 204
113504, 205
113532, 204
113654, 205
113654, 205
113522, 205
113362, 204
113522, 205
113198, 202
113362, 203
113362, 203
113654, 205
113362, 204
113532, 205
113362, 203
113522, 205
113362, 203
113504, 205
113226, 202
113334, 204
113654, 205
113528, 205
113504, 204
113532, 204
113528, 205
113532, 204
113530, 205
113362, 203
113336, 204
113532, 204
113532, 204
113334, 203
113532, 205
113532, 204
113504, 205
113654, 205
113336, 204
113532, 204
113334, 204
113334, 204
113362, 203
113362, 203
113510, 204
113654, 205
113362, 203
113362, 203
113528, 205
113334, 204
113504, 205
113198, 202
113532, 205
113530, 205
113522, 205
113334, 204
113532, 204
113504, 204
113504, 205
113654, 205
113334, 204
113532, 204
113654, 205
113334, 203
113654, 205
113654, 205
113532, 204
113504, 204
113334, 204
113654, 205
113532, 204
113334, 204
113334, 204
113504, 205
113350, 204
113532, 204
113654, 205
113334, 204
113532, 205
113362, 204
113654, 205
113532, 205
113346, 204
113504, 205
113654, 205
113344, 203
113362, 203
113362, 203
113362, 204
113522, 205
113362, 203
113504, 205
113654, 205
113532, 205
113362, 203
113336, 204
113362, 203
113528, 205
113528, 205
113362, 203
113334, 204
113532, 204
113512, 204
113362, 203
113532, 204
113528, 205
113362, 203
113532, 204
113338, 204
113532, 204
113362, 203
