#CPU cycle, #miss
105944, 238
105858, 237
106142, 240
106252, 241
105798, 237
106074, 238
105970, 236
106280, 241
105858, 238
106658, 241
106138, 240
105768, 236
106224, 240
105708, 237
106280, 241
105718, 237
105984, 239
106556, 243
105648, 236
106058, 239
105784, 238
105992, 236
105716, 237
105266, 230
105870, 236
105256, 232
105830, 238
105844, 235
106624, 241
105648, 235
105858, 237
106012, 239
105558, 235
106000, 238
105724, 237
105606, 236
105000, 230
105854, 238
105884, 239
106140, 238
105804, 237
106010, 238
105762, 238
106030, 239
106564, 241
105740, 236
105458, 234
105834, 238
106026, 239
105898, 239
105988, 239
106128, 241
106028, 240
106334, 242
105712, 237
106446, 240
105898, 239
106028, 239
106020, 238
105916, 238
105620, 235
105636, 236
106010, 239
105398, 234
106214, 241
105426, 234
106350, 241
105818, 238
106098, 239
105458, 234
106664, 242
105710, 236
105910, 238
106166, 240
106134, 240
106138, 238
106232, 241
105914, 239
106462, 242
105606, 236
105804, 237
106166, 237
105858, 238
105398, 234
105536, 234
106050, 240
105858, 238
106318, 242
105530, 235
106062, 237
105206, 232
106000, 239
106204, 238
105256, 233
105804, 237
105916, 238
105398, 234
105566, 235
105636, 236
106056, 238
106340, 240
105730, 236
105718, 237
105982, 239
105804, 237
105766, 236
105804, 237
105768, 236
105790, 238
105432, 235
106142, 238
105798, 238
106446, 240
106146, 238
105636, 236
106390, 242
105836, 238
105896, 239
106020, 239
105776, 237
106384, 242
105788, 238
105536, 235
105744, 237
106224, 241
105434, 235
105722, 237
106142, 240
105844, 237
105536, 235
106090, 240
105774, 238
105966, 239
105802, 238
105434, 235
105806, 237
106310, 241
106558, 241
105846, 238
106142, 240
105600, 236
105424, 234
106608, 244
106006, 237
105530, 235
105890, 239
105458, 234
105636, 236
106096, 240
106092, 239
105890, 238
105804, 237
106170, 240
105626, 235
105804, 237
106460, 239
105438, 235
105256, 233
106436, 243
106664, 242
106564, 241
106336, 241
106244, 241
105608, 236
106010, 238
105204, 232
105442, 235
105630, 235
105780, 238
105772, 238
105886, 237
106442, 243
105974, 239
105418, 234
106470, 242
105916, 238
105878, 237
105746, 236
105396, 233
105996, 239
105580, 236
106290, 238
106336, 239
105612, 236
105946, 238
106338, 241
106358, 242
105760, 238
106062, 237
105804, 237
105740, 237
106024, 236
105738, 236
106026, 239
105672, 235
106280, 238
105992, 238
105998, 238
105536, 235
105866, 238
105398, 234
105916, 238
105620, 235
105572, 236
106022, 239
105932, 239
106224, 240
105978, 239
105566, 235
105686, 237
105790, 238
105694, 237
106138, 240
106896, 244
106484, 240
105536, 234
106280, 241
106216, 238
106336, 241
105458, 234
106056, 239
106314, 242
105636, 236
105398, 234
105716, 237
105970, 238
105298, 232
105858, 236
105458, 234
105442, 235
105604, 232
106166, 238
106336, 242
106138, 240
105804, 237
105548, 233
105866, 238
105632, 237
105610, 236
106476, 241
105632, 233
106156, 240
105706, 237
105732, 236
105998, 238
106384, 242
105946, 238
106058, 239
105698, 237
105984, 238
106204, 240
105852, 238
106326, 242
106128, 240
105804, 237
106230, 238
105784, 237
105636, 237
105458, 234
106352, 240
105600, 236
106588, 241
105916, 238
106004, 238
105946, 238
106406, 242
105998, 238
106026, 239
106790, 243
105982, 239
106298, 238
