#CPU cycle, #miss
119752, 276
119556, 275
119226, 274
119400, 274
119408, 274
119752, 277
119918, 277
119408, 275
119556, 276
119072, 272
119408, 274
119752, 276
119408, 273
119406, 274
119240, 272
119752, 277
118890, 270
119752, 277
119752, 276
119556, 275
119408, 274
118888, 271
119556, 275
119752, 277
119408, 274
119556, 275
119062, 276
119400, 274
119732, 277
119918, 277
119752, 276
119556, 275
119408, 277
119890, 278
119556, 274
119556, 274
119752, 276
119556, 275
119072, 270
119556, 275
119556, 276
118714, 269
118898, 270
119556, 276
119752, 277
119408, 273
119576, 276
119752, 277
119240, 272
119230, 274
119556, 275
119752, 277
119394, 275
119068, 272
119556, 276
119752, 277
119752, 277
119072, 271
119418, 274
119752, 276
120088, 279
119556, 276
119216, 273
119752, 276
119918, 278
119890, 279
119072, 271
119212, 273
119918, 277
119408, 274
118900, 269
119044, 271
119918, 277
119072, 270
119408, 273
119240, 276
119918, 279
119408, 274
119408, 273
119890, 278
119752, 276
119408, 273
119408, 274
119408, 272
119752, 275
119240, 272
119406, 274
119918, 277
119240, 271
118900, 269
119412, 274
119556, 276
119072, 271
119556, 275
118900, 269
119408, 273
119408, 274
119556, 275
119918, 277
119752, 277
119408, 273
119072, 271
119390, 274
119448, 275
119730, 277
119918, 277
119556, 276
119410, 274
118872, 269
119212, 274
119402, 274
119556, 275
119556, 275
119752, 276
119408, 273
119556, 275
119556, 276
119406, 274
119752, 277
119918, 278
119394, 274
119408, 273
118556, 271
119408, 274
119918, 278
119556, 275
119220, 273
119556, 276
119212, 273
119408, 274
119752, 276
119556, 276
119556, 276
119406, 274
119752, 276
119408, 272
119748, 277
119556, 276
119240, 272
119408, 274
119408, 274
119240, 272
119918, 278
119216, 272
119918, 277
119410, 273
119752, 276
119918, 278
119556, 275
119062, 271
119752, 276
119408, 273
119582, 276
119398, 274
119556, 276
119752, 276
119406, 274
119412, 274
118872, 269
119408, 273
119072, 272
119240, 271
119422, 275
119408, 273
119236, 274
119556, 275
119752, 277
118728, 267
119556, 275
118900, 273
119556, 275
119408, 273
119556, 275
119408, 274
119556, 276
119240, 273
120088, 279
119556, 275
119404, 275
119556, 275
119918, 277
119240, 272
119556, 275
119408, 273
119918, 277
119394, 275
119752, 277
119408, 273
