#CPU cycle, #miss
83722, 217
83366, 214
83722, 217
84058, 220
83810, 218
83500, 215
83500, 215
84032, 220
83672, 216
84010, 219
83500, 214
83672, 216
84310, 222
84040, 220
83370, 213
83810, 218
84132, 221
83712, 217
83730, 217
83704, 217
83810, 218
83810, 218
83810, 218
83500, 215
83730, 217
83810, 218
83500, 215
83710, 217
83672, 216
83712, 217
84010, 219
83672, 216
83368, 214
83370, 213
83370, 214
83672, 216
84132, 220
83500, 215
83500, 215
83672, 216
83500, 215
84354, 222
83190, 213
84144, 220
83810, 218
84010, 220
83500, 215
84012, 220
83060, 210
82834, 209
83362, 214
83810, 218
83672, 216
83720, 217
83500, 215
84170, 221
83198, 212
83810, 218
83810, 218
83672, 216
83354, 214
83370, 213
83810, 218
83810, 219
83500, 215
83370, 214
83714, 217
83672, 216
83198, 212
83370, 213
84058, 220
83672, 216
84144, 221
83722, 217
83500, 215
83710, 217
83672, 216
83810, 218
83810, 218
83810, 218
83672, 216
83672, 216
83500, 215
83500, 215
83362, 214
83716, 217
84334, 222
83672, 216
83500, 215
83712, 217
83500, 215
83672, 216
83360, 214
83500, 215
84010, 219
83198, 212
83672, 216
83194, 213
83722, 217
83672, 216
83718, 217
83500, 215
84010, 219
83672, 216
83362, 214
83810, 219
84010, 219
83368, 214
83716, 217
83356, 214
83500, 214
83810, 218
83672, 216
84010, 219
83718, 217
83716, 217
83672, 216
83672, 216
83360, 214
83720, 217
83672, 216
84132, 220
83810, 218
83672, 216
83500, 215
83500, 215
83672, 216
84152, 221
83810, 219
83060, 210
84010, 219
83810, 218
83810, 218
84020, 220
84020, 219
83672, 216
83710, 217
83500, 215
83362, 214
84020, 219
83810, 219
83672, 216
83500, 214
84132, 220
83500, 215
83722, 217
84310, 222
83500, 215
83722, 217
83730, 217
83722, 217
83370, 213
83672, 216
83672, 216
83810, 219
83198, 212
83364, 214
83500, 215
83358, 214
83710, 217
83810, 219
83500, 215
83810, 218
83710, 217
83500, 214
83716, 217
83672, 216
83712, 217
84010, 219
82834, 209
83810, 218
83672, 216
84020, 219
83810, 218
83672, 216
83500, 215
83672, 216
83724, 217
83500, 215
83810, 218
83716, 217
83810, 218
83718, 217
83712, 217
83198, 212
83710, 217
83722, 217
83722, 217
83198, 212
83710, 217
83356, 214
83500, 215
83810, 218
83724, 217
83500, 215
83672, 216
83672, 216
83810, 219
83672, 216
83810, 219
83722, 217
83194, 213
83500, 215
83500, 215
83810, 218
83198, 212
83672, 216
83500, 214
83710, 217
83722, 217
83672, 216
83810, 218
83810, 218
83672, 216
83198, 212
83500, 215
84310, 222
83810, 218
84264, 222
83096, 211
83810, 218
83810, 218
83718, 217
84040, 220
83710, 217
83500, 215
84114, 221
83370, 213
83716, 217
83672, 216
83724, 217
83500, 215
83716, 217
83810, 218
83362, 214
83810, 218
83810, 218
83810, 219
83784, 219
83672, 216
83500, 215
83672, 216
83500, 215
84436, 223
83500, 214
83370, 214
84010, 219
83810, 218
83190, 213
83672, 216
83810, 218
83784, 219
83672, 216
83716, 217
83090, 211
83500, 215
83500, 215
84152, 221
83370, 214
84010, 219
83500, 214
83362, 214
83810, 218
83810, 218
84132, 221
83672, 216
83672, 216
83810, 218
83500, 215
83810, 219
83672, 216
83710, 217
83810, 218
83370, 213
83370, 213
83348, 214
84010, 219
83672, 216
83500, 215
83370, 213
83672, 216
84018, 220
83810, 218
84004, 220
83810, 219
84010, 219
83500, 215
83080, 211
83714, 217
83718, 217
83370, 213
83370, 213
83500, 215
83810, 218
83370, 213
84198, 221
83198, 212
83672, 216
83784, 219
83672, 216
83672, 216
83368, 214
83500, 215
83810, 218
83500, 215
83718, 217
83356, 214
83370, 213
83500, 214
83706, 217
83092, 211
84198, 221
84310, 222
83716, 217
83198, 212
83672, 216
83810, 218
83810, 218
83720, 217
83722, 217
84310, 222
84152, 221
83198, 212
83362, 214
83500, 215
83710, 217
83716, 217
83500, 215
83500, 214
83672, 216
83500, 215
83672, 216
83500, 215
84170, 221
83500, 215
83500, 215
83672, 216
83672, 216
83500, 214
83370, 213
83672, 216
83810, 219
83500, 215
83672, 216
83500, 214
84010, 219
83810, 218
83672, 216
83724, 217
83810, 219
83672, 216
83810, 218
83672, 216
83672, 216
83500, 215
84020, 220
83672, 216
83810, 218
83810, 218
83500, 215
83198, 212
84010, 219
83716, 217
83362, 214
83716, 217
84132, 220
84020, 219
83810, 219
83366, 214
83810, 218
84010, 219
83716, 217
83182, 213
83716, 217
83672, 216
83500, 214
