#CPU cycle, #miss
100898, 320
101238, 322
101822, 328
101736, 327
100528, 317
101164, 322
101394, 323
101132, 322
101558, 326
101004, 320
100528, 316
100882, 319
101500, 324
100680, 318
100780, 319
100792, 318
100382, 315
100494, 317
99898, 311
100074, 312
100500, 317
100942, 319
100652, 317
100620, 317
100724, 317
101868, 328
101288, 323
101676, 327
100886, 319
100904, 319
100454, 316
101922, 329
101934, 329
102216, 331
101234, 322
101104, 321
101514, 325
102000, 329
101288, 323
100390, 315
101764, 327
101016, 320
100858, 319
101050, 321
100724, 318
100452, 316
101134, 321
100726, 318
100938, 320
100882, 320
102276, 332
100846, 319
100566, 316
100614, 317
99168, 305
101422, 324
101762, 327
100960, 319
101174, 322
99898, 311
100626, 318
100340, 314
100982, 320
100324, 314
101758, 327
100236, 313
100608, 317
101388, 323
101228, 322
101540, 326
101722, 326
101758, 327
100508, 316
100660, 317
100452, 315
101738, 328
99962, 312
101276, 322
100452, 315
101616, 326
100838, 320
101016, 320
100724, 318
101400, 324
101116, 321
100786, 319
101966, 330
101162, 322
101262, 324
101010, 320
100282, 314
101084, 321
100746, 318
101174, 322
101164, 322
100848, 319
101618, 326
101234, 323
101378, 323
101234, 323
101246, 322
100348, 315
102046, 329
101122, 321
100902, 320
100572, 317
101598, 326
101228, 322
100324, 315
101388, 324
101438, 325
100780, 318
100726, 319
101614, 326
101426, 325
100304, 314
100740, 318
100970, 320
101122, 322
100994, 321
100680, 317
100282, 314
101030, 321
100882, 320
101764, 327
100678, 317
100804, 319
100342, 315
101634, 326
100348, 314
101262, 322
101550, 325
100500, 316
100452, 316
100454, 316
102458, 334
101356, 324
101350, 323
101122, 322
101768, 327
101528, 325
100908, 320
101490, 324
101122, 321
100344, 315
101494, 325
100136, 312
101016, 321
101394, 323
100976, 320
101380, 324
101782, 328
100502, 316
101282, 323
101738, 327
100068, 312
101274, 323
101386, 324
100236, 313
101238, 323
100620, 317
101016, 320
101422, 323
101116, 321
100970, 321
100964, 320
101128, 321
101632, 326
101010, 320
100984, 321
101282, 323
100324, 314
101340, 323
101400, 324
100726, 318
100994, 320
100970, 320
100938, 320
100832, 319
100724, 318
101812, 327
100136, 313
100074, 312
101676, 327
100454, 316
100370, 315
101422, 325
100838, 319
100514, 317
101378, 324
100752, 318
100740, 318
100704, 318
101004, 321
100074, 312
101168, 322
101558, 326
101056, 322
100500, 316
101016, 320
101288, 322
101270, 322
102484, 334
100816, 320
101234, 322
101424, 324
100946, 321
101106, 321
100948, 320
100514, 316
101870, 328
101346, 323
100726, 318
100724, 319
101504, 325
101570, 325
100348, 316
100620, 317
101310, 323
101188, 323
101262, 322
101400, 323
100870, 319
100898, 320
100870, 319
101238, 322
101010, 320
99880, 311
100460, 315
101518, 325
100454, 317
101858, 328
100100, 313
100304, 314
100994, 320
101512, 326
101022, 320
101540, 326
100870, 319
101624, 327
101612, 326
101816, 328
101198, 322
101168, 321
102258, 332
101062, 321
100444, 317
100956, 319
100340, 315
100620, 317
100228, 313
100836, 320
101100, 321
101522, 325
100304, 314
101458, 324
99508, 307
100858, 319
100514, 316
100428, 315
101662, 326
101076, 320
100618, 317
101116, 322
100348, 315
100402, 315
102008, 329
100976, 320
101618, 327
100628, 317
101740, 327
102284, 332
102206, 331
101112, 321
101544, 326
100714, 318
101394, 324
101758, 328
100508, 316
101888, 328
100732, 318
101626, 327
100994, 320
100732, 318
99912, 311
101176, 322
101508, 326
101782, 327
101382, 325
101234, 323
101634, 326
100724, 318
101376, 324
100950, 320
101334, 324
100746, 317
100844, 319
99912, 311
100618, 316
101106, 322
101898, 329
101100, 322
101394, 324
101164, 323
101116, 321
101768, 328
100508, 316
101434, 324
100612, 316
101388, 323
100618, 317
100730, 317
100460, 315
102382, 332
101234, 322
102360, 333
100766, 319
101612, 327
101116, 322
100634, 318
101900, 328
101294, 322
100186, 313
100950, 321
100454, 316
100732, 318
101014, 321
101464, 325
100348, 314
101698, 326
101864, 328
101062, 320
100622, 317
100988, 321
101062, 322
100976, 320
100074, 312
101570, 325
100956, 320
100738, 318
100832, 319
100858, 319
99508, 308
100864, 319
101122, 322
100236, 314
101126, 322
101618, 326
100614, 317
101228, 322
100832, 319
101132, 321
100724, 318
101020, 321
100696, 318
101394, 325
100074, 312
100606, 317
101276, 323
100602, 317
100566, 316
101010, 321
99896, 311
101392, 324
100074, 313
101480, 325
100074, 312
101612, 327
101170, 323
100058, 313
100844, 319
101126, 322
101100, 322
100970, 320
102020, 330
100454, 315
100506, 316
101010, 320
100964, 320
100866, 319
101394, 324
100828, 318
101320, 323
101624, 327
101548, 326
100620, 318
101782, 327
101522, 325
101122, 322
100236, 314
101384, 325
100836, 319
101202, 322
101162, 322
102488, 335
100500, 316
100612, 318
101384, 323
101238, 322
99852, 311
100348, 315
100514, 316
101728, 328
101672, 327
101280, 322
100830, 318
101838, 329
101000, 320
100410, 315
101076, 320
100724, 318
100746, 319
101900, 329
101676, 327
101436, 325
100236, 313
101790, 328
100612, 317
101422, 324
100228, 313
101102, 322
100080, 313
101406, 325
100838, 319
101500, 324
102206, 332
101564, 326
100734, 318
100782, 319
100776, 319
100858, 320
101304, 322
100898, 320
101262, 322
101722, 327
101822, 329
101504, 326
100074, 312
100454, 315
102028, 329
100080, 312
100836, 319
101896, 328
102046, 330
101394, 324
100916, 319
100976, 320
100620, 317
101598, 325
102188, 331
100724, 318
100740, 318
101052, 321
101704, 326
101324, 323
100636, 317
101394, 324
100740, 318
100822, 320
100024, 312
100766, 318
101340, 324
101534, 326
101656, 326
101004, 320
102120, 331
101744, 328
99768, 309
101106, 322
100620, 317
101328, 324
100100, 312
100460, 316
101400, 324
101406, 323
100786, 319
101712, 327
101458, 324
101392, 323
100340, 315
101652, 327
101016, 320
101108, 322
101758, 327
102000, 330
101340, 324
100624, 317
101234, 322
101940, 329
101566, 325
101378, 323
101546, 325
101448, 324
101168, 322
101674, 326
101520, 325
101282, 323
100876, 319
101010, 321
102282, 332
101346, 324
101378, 324
101550, 325
101082, 322
100612, 317
101344, 324
100840, 319
100514, 316
101062, 321
100612, 318
100500, 316
101058, 321
100376, 315
100852, 319
100792, 318
101730, 328
100648, 317
100842, 319
101740, 327
100474, 316
101456, 324
101392, 324
101082, 321
101616, 326
100612, 317
100074, 312
101716, 327
100944, 321
100720, 318
100750, 318
99356, 306
101122, 321
100838, 319
101228, 322
101340, 324
101406, 324
102164, 330
100634, 317
100606, 317
101286, 323
101120, 322
100618, 317
99748, 310
100746, 318
100732, 318
101656, 326
100758, 318
101392, 324
101464, 324
101598, 327
101122, 321
101570, 326
100564, 316
100566, 317
101886, 328
100326, 314
102094, 330
100994, 322
100460, 316
100074, 312
101218, 322
100684, 317
99482, 309
101164, 322
100342, 315
100174, 314
101750, 327
100946, 319
101270, 323
101156, 322
100236, 313
101016, 321
101282, 322
100416, 315
100270, 314
101154, 322
101940, 329
101170, 322
101720, 327
100780, 319
101822, 327
100870, 319
101564, 325
100932, 320
101282, 323
101280, 322
100956, 320
102146, 330
100814, 319
100566, 316
100494, 317
101504, 325
100402, 315
101016, 320
100452, 316
100508, 316
101244, 322
101112, 321
101568, 326
101022, 321
100620, 318
100898, 320
101400, 323
101044, 321
101392, 324
101094, 322
101886, 328
100634, 316
101640, 327
101574, 325
100166, 313
101796, 327
100844, 320
101650, 325
100738, 318
101168, 322
101068, 322
100754, 319
101740, 327
100564, 316
101416, 324
100844, 319
99744, 310
99986, 312
100858, 319
100790, 319
100572, 316
100908, 321
101274, 323
101854, 329
100382, 315
101462, 325
100776, 319
101020, 320
100882, 320
101790, 327
100852, 319
101518, 325
101094, 321
101630, 326
100230, 313
101770, 327
101630, 326
101056, 322
101656, 327
101134, 322
101908, 329
101498, 324
101010, 321
100620, 317
101010, 320
100730, 318
101900, 329
101386, 324
100850, 319
101352, 323
100838, 320
101344, 323
101074, 321
101240, 322
101598, 326
101274, 323
101326, 324
101662, 326
101010, 320
101558, 326
100982, 320
101540, 325
99754, 310
100174, 313
101200, 322
100888, 319
101106, 321
101106, 322
101668, 326
101280, 323
100898, 319
101168, 322
101016, 320
101406, 325
101822, 329
101504, 325
101310, 323
100186, 313
100640, 317
100898, 320
100450, 316
101010, 320
100844, 319
101098, 321
101062, 321
100844, 319
100850, 319
101618, 325
101452, 324
101128, 322
99932, 312
100150, 313
100982, 320
101324, 324
101504, 325
101842, 327
101014, 321
99762, 310
100054, 313
100620, 317
101282, 323
100758, 318
100626, 317
100566, 317
101280, 323
101186, 322
102304, 332
100340, 314
100500, 316
100340, 314
100826, 319
100342, 314
100952, 319
100766, 318
101082, 321
101276, 323
100508, 316
100010, 311
101446, 324
100830, 319
100100, 312
101010, 321
100678, 319
101726, 327
102258, 331
101174, 321
100480, 317
100024, 312
101122, 321
100732, 318
100620, 317
101384, 324
102522, 334
101032, 321
101606, 326
100838, 319
101782, 327
101662, 326
100218, 314
100726, 319
100612, 317
101106, 321
101842, 327
101502, 325
100790, 318
100394, 315
100852, 319
100482, 316
100984, 321
100732, 319
100566, 317
101116, 321
101200, 322
100024, 312
100540, 316
101016, 321
101506, 325
100852, 319
100950, 320
101276, 324
101500, 324
100844, 319
99508, 308
101378, 325
101956, 329
100956, 320
101122, 321
101858, 329
101116, 322
101746, 327
100298, 314
101134, 322
101056, 321
101330, 324
100882, 319
101652, 327
100722, 319
101010, 320
101340, 324
