#CPU cycle, #miss
161378, 294
161746, 300
162538, 300
162274, 297
161286, 293
162274, 297
161784, 297
160992, 292
161626, 295
161982, 299
161756, 296
162112, 298
161626, 294
161784, 298
161756, 296
161954, 295
162112, 298
161954, 296
161626, 291
162408, 298
161312, 292
161708, 295
161784, 300
162328, 302
161764, 295
161756, 295
161286, 291
161680, 295
162392, 302
162112, 297
162086, 297
161784, 297
161756, 295
162556, 300
162112, 299
162410, 300
161756, 294
161756, 294
161620, 292
161286, 295
161954, 293
161954, 296
162112, 298
161286, 292
162102, 299
161954, 295
162112, 297
162096, 298
161954, 298
161756, 295
162274, 298
161784, 296
162112, 297
161248, 292
162274, 298
161286, 294
161312, 296
161626, 293
161954, 296
161746, 299
162274, 297
161928, 296
162274, 301
161286, 291
162112, 296
162530, 300
162112, 298
162094, 298
161756, 296
162272, 299
161286, 292
161616, 296
161626, 293
162278, 298
162302, 298
161756, 295
161756, 295
161164, 293
161756, 296
161756, 296
161286, 294
162112, 296
162112, 297
161668, 298
161954, 299
162530, 300
162112, 297
162410, 299
161756, 296
162556, 300
162232, 296
161954, 297
161954, 298
161756, 295
162264, 298
161248, 294
161312, 293
161756, 294
161286, 294
161626, 294
161286, 290
161954, 295
161660, 297
161164, 293
161286, 294
162408, 299
162274, 297
162328, 301
161928, 296
162274, 298
162086, 299
162628, 303
161312, 296
161954, 297
162628, 302
161756, 296
162112, 295
162274, 298
162296, 299
161954, 297
161164, 293
161312, 296
162060, 298
162274, 297
161756, 295
161626, 295
161954, 298
162086, 299
162284, 298
162112, 296
161756, 295
162274, 300
161756, 296
162264, 299
161954, 297
161248, 294
161312, 293
161756, 296
162544, 300
162112, 296
161286, 292
162112, 300
161700, 297
161756, 296
161928, 295
161954, 298
161286, 291
162104, 298
161700, 294
161756, 296
161954, 295
161954, 297
163090, 303
161674, 294
162568, 300
161690, 293
162290, 299
161954, 297
162628, 302
161954, 297
161312, 294
161954, 296
162112, 297
161784, 298
161680, 295
162628, 301
161756, 296
161954, 297
162096, 299
161756, 295
162140, 298
161312, 294
161312, 295
161954, 297
161954, 296
161756, 297
161954, 296
161954, 298
162112, 299
162278, 298
162408, 301
161286, 294
162278, 299
161312, 293
161708, 296
161756, 297
161756, 295
161954, 297
161954, 295
162628, 302
161312, 293
162448, 301
161680, 294
161928, 296
161164, 292
162112, 298
162530, 301
161954, 296
161312, 294
161756, 294
161718, 296
161190, 293
162096, 298
162090, 300
162008, 298
161164, 290
161954, 296
161312, 293
160784, 290
162408, 300
162274, 298
161680, 296
161686, 296
162284, 299
162112, 297
161756, 295
161756, 295
161784, 297
161664, 295
161954, 296
161954, 298
161660, 295
161954, 298
162112, 297
162112, 298
161312, 295
162296, 299
162274, 298
161680, 295
162530, 299
162408, 300
161286, 295
161876, 295
161626, 295
161954, 296
161756, 296
161954, 297
161042, 291
162154, 298
162094, 298
162008, 298
160536, 288
161954, 296
161312, 294
162008, 298
161784, 297
161746, 295
161954, 297
162530, 299
162530, 301
162290, 299
162296, 299
162628, 302
162112, 297
162274, 297
161720, 296
161286, 294
162290, 299
161714, 296
162628, 305
162274, 300
162280, 300
161954, 299
161626, 294
161756, 297
162268, 299
162410, 300
161164, 289
161698, 296
161680, 297
162292, 298
161626, 295
162530, 302
161756, 296
162112, 298
162094, 295
161750, 299
161756, 295
162112, 298
162112, 296
162112, 297
161876, 298
161286, 293
162274, 296
161312, 294
161954, 297
161756, 295
162112, 297
161746, 294
161286, 290
162266, 300
161626, 294
162408, 300
162628, 301
162096, 297
162112, 297
162272, 299
161286, 295
161756, 293
162408, 298
161286, 290
162282, 298
161312, 294
161658, 297
161954, 296
161312, 294
162274, 298
161988, 300
160558, 288
162112, 297
161756, 296
162266, 299
161756, 295
162002, 299
162008, 298
162264, 299
161286, 291
162408, 300
161954, 296
162556, 300
162628, 304
162284, 298
162112, 296
162274, 297
161286, 294
162104, 299
162408, 299
161626, 292
162276, 298
162628, 303
162394, 300
162278, 299
161928, 295
161988, 298
161626, 295
161756, 295
162274, 298
162408, 298
162274, 297
161746, 300
162112, 297
161784, 296
162274, 298
161954, 296
161756, 297
162008, 296
161928, 295
161626, 295
161954, 295
161674, 294
161680, 293
161626, 293
161954, 295
162112, 299
161700, 295
162112, 298
162112, 297
162086, 299
161756, 293
