#CPU cycle, #miss
308984, 335
309160, 335
309160, 335
309160, 335
308984, 335
309350, 335
308514, 335
308514, 335
309272, 335
309160, 335
309160, 335
308752, 335
309160, 335
308340, 335
309160, 335
309160, 335
309160, 335
309272, 335
309272, 335
309160, 335
310770, 335
308984, 335
309350, 335
310834, 335
308514, 335
307742, 335
308514, 335
308514, 335
309160, 335
309512, 335
309160, 335
310770, 335
309160, 335
308514, 335
309160, 335
309160, 335
309160, 335
309350, 335
309272, 335
309160, 335
310088, 335
308514, 335
309272, 335
309160, 335
308984, 335
309272, 335
308514, 335
309160, 335
308514, 335
309160, 335
308514, 335
309272, 335
310770, 335
309160, 335
309160, 335
309272, 335
309350, 335
309160, 335
309160, 335
309160, 335
308984, 335
309160, 335
309160, 335
308514, 335
308514, 335
309160, 335
308514, 335
309350, 335
309272, 335
308514, 335
309160, 335
309160, 335
309160, 335
310770, 335
308984, 335
308514, 335
309160, 335
308514, 335
309160, 335
308514, 335
308514, 335
307894, 335
309272, 335
308340, 335
309160, 335
308514, 335
308514, 335
309160, 335
309350, 335
309160, 335
309160, 335
308984, 335
309160, 335
308514, 335
309160, 335
308514, 335
308984, 335
308984, 335
309160, 335
308984, 335
309160, 335
309256, 335
309350, 335
307892, 335
309160, 335
308514, 335
309160, 335
308340, 335
309272, 335
307892, 335
309160, 335
308514, 335
308984, 335
309160, 335
309350, 335
309160, 335
309160, 335
309160, 335
309350, 335
310088, 335
309160, 335
309160, 335
309272, 335
309350, 335
307892, 335
309272, 335
308514, 335
308984, 335
309160, 335
309160, 335
308984, 335
309350, 335
309160, 335
308340, 335
309160, 335
308514, 335
309160, 335
309350, 335
308984, 335
308984, 335
309350, 335
309160, 335
309160, 335
309160, 335
308514, 335
308514, 335
308514, 335
308520, 335
307962, 335
308984, 335
309160, 335
309272, 335
308984, 335
309160, 335
308514, 335
308984, 335
309160, 335
309160, 335
309160, 335
308984, 335
309160, 335
309160, 335
308984, 335
309160, 335
309160, 335
309160, 335
309160, 335
307944, 335
309160, 335
308514, 335
308514, 335
308514, 335
309350, 335
309350, 335
309160, 335
309256, 335
309160, 335
309160, 335
, 
309350, 335
308514, 335
308514, 335
310770, 335
308514, 335
308514, 335
308752, 335
309160, 335
308984, 335
307958, 335
309272, 335
309160, 335
309160, 335
309160, 335
309272, 335
309350, 335
309272, 335
309160, 335
308984, 335
309160, 335
308514, 335
309350, 335
309160, 335
308514, 335
307868, 335
308514, 335
309160, 335
309350, 335
309350, 335
309160, 335
308514, 335
308984, 335
308984, 335
309160, 335
309272, 335
309160, 335
308984, 335
309160, 335
308984, 335
308520, 335
308514, 335
309350, 335
309160, 335
308514, 335
308514, 335
309272, 335
309350, 335
309350, 335
309160, 335
309350, 335
309160, 335
308984, 335
309272, 335
308514, 335
309350, 335
309160, 335
308984, 335
309350, 335
309160, 335
309160, 335
309160, 335
308514, 335
309256, 335
309350, 335
308884, 335
309350, 335
309272, 335
308984, 335
308984, 335
309160, 335
309160, 335
309160, 335
309160, 335
307962, 335
309160, 335
308514, 335
308984, 335
, 
309160, 335
309160, 335
309272, 335
308984, 335
308984, 335
308514, 335
308514, 335
308984, 335
308514, 335
309160, 335
308514, 335
310412, 335
308514, 335
308514, 335
308984, 335
308984, 335
308514, 335
309160, 335
308984, 335
309350, 335
309160, 335
308514, 335
309350, 335
308514, 335
310088, 335
308984, 335
308514, 335
