#CPU cycle, #miss
101828,271
102228,274
101596,269
101792,270
102274,275
100904,263
101674,269
101374,267
101648,269
101532,267
102114,273
101634,269
101386,267
101698,270
101740,269
100882,261
101576,269
101368,267
102062,272
102052,272
101470,267
101816,271
101928,272
102164,273
101610,268
101898,271
101902,271
101390,267
101246,265
101860,270
101674,269
101384,266
101614,268
101716,269
100902,262
101362,267
101352,267
101562,268
101322,265
101632,269
101420,267
102038,272
101678,269
101890,271
101706,270
102150,273
101494,267
101534,268
101092,264
101680,269
101196,265
101428,266
102008,272
101496,267
102188,274
101582,268
101906,271
101756,269
101896,271
101714,269
101256,265
101898,271
101834,271
101870,270
101614,268
101932,271
101720,269
102046,272
101584,268
102004,272
102052,272
101682,269
101248,266
101674,269
102010,272
101944,271
101890,271
101428,267
101672,269
101944,271
101208,265
101182,265
101358,266
101758,269
101716,269
101790,270
101716,269
101374,267
100846,262
101704,270
101734,269
101646,268
101332,266
101700,270
101372,266
101186,265
101588,269
101870,271
100916,262
101538,267
101570,268
101816,271
101490,267
102264,274
101646,269
100978,263
101368,266
101532,268
101778,270
101838,270
101750,270
102150,274
101784,270
101854,271
101374,267
102270,274
101720,269
101092,264
101608,269
101646,269
101360,267
101652,268
101908,272
101480,268
101754,270
101170,264
101672,269
101970,272
101596,268
101432,267
101482,268
101540,268
101608,268
101608,269
101496,267
101610,268
101254,265
102144,273
101668,269
101166,264
102270,274
101716,269
101778,270
102128,273
101714,269
101426,267
101826,270
101540,268
101680,269
101032,263
101848,271
101808,271
101370,266
101940,272
102050,272
102362,275
101222,265
101448,267
101926,271
101714,270
101038,263
102032,272
101696,269
101714,270
101702,269
101766,270
101220,265
101826,270
101022,263
101448,267
102130,273
101814,271
101540,267
101586,269
101540,268
101832,270
101264,266
101652,268
101252,266
102116,273
101604,268
101778,270
101614,268
102228,274
101932,271
102156,273
101562,268
101504,267
101784,270
101946,271
101666,269
101310,266
101902,271
101504,267
101826,270
101852,270
101688,269
101674,269
101608,269
101098,264
101994,272
101196,265
101886,271
101716,269
101944,271
101860,270
101826,270
102342,276
101926,272
101934,272
102050,272
101730,269
101368,267
101320,266
101828,270
101432,266
101024,264
101366,267
101420,266
101828,270
101830,271
101652,269
101802,270
101254,266
101136,264
101588,269
101474,268
101832,270
101602,268
101560,268
101540,267
101092,263
101496,267
101714,269
101208,265
101826,270
101366,267
101540,268
101556,268
101278,265
101386,266
101532,268
101698,270
102494,277
101534,267
102044,272
101710,270
