#CPU cycle, #miss
101958, 272
101832, 270
101738, 269
101938, 271
101600, 269
101892, 271
101496, 267
101666, 269
101644, 269
101362, 266
101614, 269
102344, 276
102052, 273
101726, 269
101616, 268
101890, 271
101834, 271
101496, 268
102002, 272
101540, 268
102158, 274
101358, 266
101944, 271
101420, 266
101314, 266
101020, 263
101558, 268
101128, 264
100922, 262
102052, 273
102044, 272
101432, 267
101644, 268
101616, 269
101778, 270
101590, 269
100676, 260
101898, 271
101540, 268
101442, 267
101300, 266
101278, 265
101932, 271
101320, 265
101822, 271
102010, 271
101422, 267
101574, 268
102164, 273
101698, 270
102082, 273
101380, 266
101694, 269
101382, 267
101322, 266
101730, 270
102144, 274
101624, 268
101502, 267
100986, 263
101744, 270
102146, 274
101680, 269
102052, 273
101852, 270
101582, 268
101702, 270
102506, 276
101722, 270
101458, 267
101616, 268
102118, 273
101552, 268
101674, 269
102086, 272
102052, 272
102276, 274
101314, 266
101430, 267
102000, 271
101940, 271
101952, 272
101496, 267
101456, 268
102044, 272
101896, 270
101612, 269
101420, 266
101780, 270
101898, 271
102014, 272
101428, 267
101322, 266
101534, 267
102162, 273
101576, 268
101552, 268
101722, 270
101840, 270
101610, 268
101758, 270
101568, 268
101246, 265
102490, 276
101422, 267
101306, 265
101486, 268
101714, 269
101592, 269
101534, 267
102162, 273
101602, 268
101220, 265
101898, 271
101608, 268
101532, 267
101592, 269
101420, 266
101310, 266
102154, 274
101510, 268
101592, 269
101976, 272
101198, 265
101152, 265
100910, 263
101896, 271
101528, 268
102014, 272
101674, 269
101786, 270
101540, 268
101368, 267
101224, 265
101764, 270
101680, 269
101938, 271
102050, 272
102182, 274
101714, 269
101826, 271
101660, 269
101740, 269
102158, 273
101806, 270
101866, 270
101826, 270
101096, 264
101784, 270
101784, 270
102144, 273
101490, 267
101384, 266
101544, 267
101714, 269
101314, 266
102164, 274
101920, 272
101538, 267
101898, 271
101384, 266
101616, 269
101916, 272
101764, 270
101498, 267
101136, 265
101366, 266
101920, 271
101532, 268
102210, 273
101896, 271
101720, 269
101940, 271
101408, 266
101504, 267
101730, 270
102046, 272
101702, 270
101604, 268
101646, 268
101876, 271
101970, 272
102144, 273
101722, 269
101420, 267
101490, 267
101940, 272
101780, 270
101896, 271
101860, 270
102016, 272
101678, 269
101578, 268
101392, 266
101096, 264
101714, 269
101466, 267
101690, 270
101714, 269
102146, 273
101414, 267
101452, 267
101496, 267
101334, 266
101622, 268
102040, 273
101754, 269
101490, 267
101472, 267
101426, 266
101342, 266
101422, 267
101940, 271
102004, 272
101600, 269
102276, 275
101896, 270
101722, 269
101428, 266
102052, 272
101946, 271
101478, 268
101540, 267
101802, 270
101422, 267
101806, 270
101526, 268
101538, 268
101716, 269
101386, 266
101534, 267
101520, 268
101460, 268
101210, 264
101558, 268
101720, 270
101022, 263
101472, 268
101428, 267
102044, 273
101974, 272
101552, 268
101616, 268
101314, 266
102182, 273
101604, 269
101792, 270
101254, 266
101540, 267
101146, 264
101658, 269
100678, 260
101940, 272
101716, 269
100994, 263
101582, 269
101834, 270
102014, 272
101450, 267
101310, 266
101608, 268
101036, 263
101126, 265
101792, 270
101344, 266
101714, 269
101142, 264
102170, 273
101428, 267
102202, 274
101832, 270
101760, 270
101260, 266
101476, 268
101182, 264
101540, 267
102158, 273
101584, 269
101826, 270
101562, 268
101544, 267
101480, 267
101830, 271
101090, 263
101604, 269
102010, 272
101792, 270
101714, 269
101472, 268
101898, 271
101590, 269
102142, 273
101634, 268
101750, 269
101834, 270
100910, 262
102270, 274
101540, 267
101472, 267
101248, 266
101832, 270
102056, 272
101652, 268
102052, 273
101608, 268
101610, 268
101820, 271
101938, 271
101786, 270
102110, 273
101454, 267
101940, 271
101756, 269
101892, 271
101474, 268
101610, 268
101940, 272
101240, 265
101920, 272
101398, 266
101254, 265
101256, 265
101532, 268
101696, 269
101828, 270
101714, 269
101292, 265
101250, 265
101928, 272
101626, 268
101714, 269
101012, 263
102122, 273
101596, 268
102114, 273
102052, 272
101426, 267
101226, 265
101780, 270
101792, 270
101926, 271
101578, 268
101690, 270
101758, 270
101134, 264
101532, 268
101932, 271
102116, 273
101624, 268
102414, 275
101418, 267
102162, 273
101540, 268
101202, 265
101614, 268
102050, 273
101248, 265
101360, 266
101844, 270
101534, 268
101202, 265
101538, 268
102050, 273
101578, 268
101360, 267
102364, 275
101940, 271
101446, 267
101570, 268
101368, 267
101016, 263
101298, 266
101610, 268
101532, 268
101480, 267
101256, 266
101980, 271
102376, 275
101940, 271
101610, 268
101896, 271
101608, 268
101626, 268
101316, 265
101722, 269
102026, 272
101568, 268
101714, 269
101888, 271
101836, 270
101876, 271
101242, 265
101868, 271
101842, 270
102122, 273
101488, 268
101828, 270
101918, 271
101534, 268
101426, 267
101512, 267
102016, 272
100806, 261
101428, 266
101574, 268
101410, 267
101526, 267
101536, 268
102212, 274
102022, 273
101946, 271
102494, 276
101720, 269
101142, 264
102164, 273
101514, 267
102168, 273
101472, 267
102116, 273
101496, 267
101406, 267
101532, 267
101602, 268
101554, 268
101560, 268
102004, 272
102362, 276
101934, 272
101470, 267
101288, 266
101202, 264
101740, 269
101196, 264
101174, 265
101950, 271
101498, 267
101786, 270
101816, 271
101362, 266
101490, 267
101674, 269
101712, 270
101674, 269
101434, 267
101510, 268
101886, 271
101720, 269
101376, 267
100692, 260
101668, 269
102250, 274
101672, 269
101144, 264
101934, 272
101602, 268
101962, 271
101250, 265
101870, 271
101602, 269
101014, 263
101674, 269
102120, 273
101704, 270
101828, 270
101832, 270
101030, 264
102010, 272
101960, 271
101892, 271
101496, 267
101372, 267
102016, 272
101834, 270
101470, 267
101886, 271
101392, 266
101502, 267
101630, 268
101606, 268
101644, 269
101300, 265
101492, 267
102428, 275
101668, 269
101320, 266
101148, 264
101652, 269
101892, 270
100926, 262
101434, 267
101540, 267
102156, 273
101018, 264
101540, 268
101658, 269
101778, 270
101832, 271
101920, 271
101484, 268
101974, 272
101896, 271
102228, 274
101134, 264
101368, 267
101506, 267
101672, 269
101360, 266
101712, 270
101126, 264
101784, 270
101840, 270
101664, 269
101538, 268
101428, 267
101694, 269
101786, 270
101586, 269
101972, 272
102146, 273
101716, 269
101826, 270
101946, 271
101254, 265
101672, 269
101784, 270
100798, 261
101718, 270
101586, 268
101892, 271
101784, 270
101492, 267
102158, 274
101792, 270
101920, 271
102114, 273
102150, 274
102066, 273
101650, 269
101816, 271
100872, 261
101938, 271
101384, 266
101826, 270
102076, 272
101940, 271
100912, 262
102114, 273
101650, 268
101616, 269
101498, 268
101498, 267
101474, 268
101914, 272
101898, 272
101380, 267
101974, 272
101306, 265
101816, 271
101352, 267
101698, 270
101968, 271
102010, 272
102268, 274
101540, 268
101610, 268
101644, 269
101750, 270
101728, 269
101826, 270
101640, 269
101256, 265
101602, 268
101722, 269
101590, 268
101918, 272
101928, 272
101308, 265
101616, 268
101278, 265
101924, 272
101700, 270
101952, 271
101898, 271
101138, 265
101938, 272
101868, 271
101714, 269
101952, 271
101832, 270
100994, 263
101198, 265
101806, 271
102156, 273
101314, 266
101720, 270
102042, 272
102050, 273
101828, 270
101640, 268
101478, 268
101780, 270
101938, 271
101784, 270
101828, 270
101142, 265
101354, 266
101240, 265
101610, 268
101176, 265
101202, 265
101728, 269
101272, 265
102018, 273
101390, 266
101148, 264
101738, 269
101534, 268
101930, 271
101678, 269
101496, 267
101904, 271
101720, 270
101534, 268
101810, 271
102116, 273
101506, 267
101980, 271
101464, 268
101786, 270
101784, 270
101614, 268
101528, 267
101368, 267
101540, 268
101578, 268
101448, 267
101428, 267
102164, 273
101354, 266
101934, 271
102014, 272
101428, 267
101416, 267
101316, 266
101828, 270
101720, 269
102058, 272
101384, 266
101946, 271
101722, 269
101360, 266
100620, 259
101536, 268
101960, 271
101138, 264
101608, 269
101202, 264
101748, 269
101308, 266
101356, 266
100994, 263
101502, 267
101792, 270
101384, 266
101938, 271
101510, 267
101932, 272
102274, 274
100904, 262
101386, 266
101820, 271
102086, 272
101336, 266
102040, 273
102178, 274
101610, 268
101476, 267
101716, 269
101716, 270
101420, 266
102002, 272
101008, 262
101096, 264
101166, 265
101490, 267
101680, 269
102082, 272
101314, 266
101386, 266
102164, 274
101902, 271
101832, 270
102356, 275
101476, 268
102540, 277
101614, 269
101904, 271
101556, 268
101634, 268
101778, 270
101666, 269
101834, 270
101280, 265
101758, 269
102276, 274
101434, 266
101506, 267
101828, 271
101458, 267
101828, 270
102010, 272
102050, 272
101010, 264
101742, 270
101644, 269
101384, 266
101532, 267
101828, 270
101472, 268
101920, 271
101820, 270
101022, 263
101714, 270
100904, 262
102252, 274
101828, 270
101610, 268
101322, 266
101922, 272
101030, 264
101972, 272
101432, 267
101504, 267
101826, 271
102164, 274
101708, 269
101560, 268
101474, 267
102266, 274
101668, 269
101314, 266
101084, 264
101680, 269
101858, 271
101666, 268
101360, 266
101450, 267
101818, 271
101674, 269
101828, 270
101524, 267
101828, 271
101556, 268
101680, 269
101148, 265
101698, 269
101240, 266
101714, 270
101024, 263
101128, 264
101582, 268
101678, 269
101314, 265
102102, 273
101726, 269
101714, 269
101566, 268
101714, 269
101106, 264
101304, 266
101448, 267
101786, 270
101826, 270
101686, 269
101546, 268
101292, 265
101314, 266
101812, 271
101710, 270
101136, 264
101562, 268
101594, 268
102008, 272
102024, 272
101578, 269
101608, 268
101758, 270
101696, 270
101970, 271
101208, 264
102268, 274
102010, 272
102004, 272
101764, 270
101696, 270
101596, 268
100920, 262
102164, 273
102046, 272
101316, 265
101432, 267
102116, 273
101454, 267
101832, 270
101316, 266
101840, 270
101222, 265
101868, 271
101538, 268
101832, 270
101732, 269
101160, 264
101376, 267
101434, 267
101646, 268
101204, 265
101896, 271
101740, 269
101888, 271
101360, 266
101032, 264
101456, 267
101898, 271
101946, 272
102044, 273
101478, 267
101710, 270
101634, 268
101126, 264
101678, 269
101254, 265
101204, 265
101934, 271
101282, 266
101632, 269
101540, 268
101316, 266
101594, 269
101208, 265
102004, 272
101530, 268
101370, 267
101932, 271
101448, 267
101428, 267
101606, 269
101742, 269
101220, 265
101492, 267
101728, 270
101602, 268
101714, 270
101572, 268
101428, 267
101616, 269
101764, 269
101196, 265
101710, 269
101708, 269
101904, 271
101728, 270
102120, 273
101492, 267
101792, 270
101728, 269
101480, 268
101610, 268
103082, 272
100986, 262
101604, 268
101490, 267
101354, 266
101352, 266
101720, 270
101552, 268
101846, 270
101128, 264
101826, 270
101656, 269
102488, 276
101716, 269
101546, 268
101650, 269
101610, 268
101868, 271
101722, 269
100904, 262
101322, 265
102234, 274
101402, 266
101598, 269
101874, 270
101482, 268
101490, 267
101426, 267
101736, 270
101850, 270
101532, 268
101936, 272
102494, 276
101254, 266
101982, 272
101840, 270
101362, 267
101644, 268
101740, 269
101484, 268
101756, 270
101614, 268
101860, 270
101534, 267
101320, 266
101204, 264
101786, 270
101596, 268
101896, 271
101576, 269
101512, 267
102032, 272
101684, 269
101314, 265
101786, 270
101202, 265
101674, 269
101480, 268
101266, 265
