#CPU cycle, #miss
127924, 276
128048, 276
127926, 275
128048, 275
128048, 276
128036, 276
128582, 276
128188, 276
128048, 276
128090, 276
128568, 276
128048, 276
127816, 274
128034, 276
128822, 276
128048, 276
128048, 276
127926, 276
127918, 276
128578, 276
128740, 276
127918, 276
128066, 276
128048, 276
128048, 276
128080, 276
127926, 276
128188, 276
128048, 276
127808, 275
128048, 276
127820, 275
127808, 274
128188, 276
128048, 276
128048, 276
128048, 276
128048, 276
128054, 276
127916, 275
127858, 275
128048, 276
128088, 276
128048, 276
128188, 276
128048, 275
128950, 275
128048, 276
127814, 275
128048, 276
128568, 276
128886, 276
128972, 276
128048, 276
127900, 275
128038, 276
127900, 275
127924, 276
127926, 275
127804, 274
128188, 276
128048, 275
128054, 276
128900, 276
128048, 275
128088, 276
128048, 276
128048, 276
128048, 276
127926, 275
127900, 275
128048, 276
128048, 276
128048, 276
128048, 276
127884, 276
128034, 276
127900, 275
128048, 276
128060, 276
128850, 275
128054, 276
128066, 276
128042, 275
128048, 276
128048, 276
128568, 276
128062, 276
127808, 275
127926, 275
127926, 275
127900, 275
128040, 276
127874, 276
128048, 276
128752, 274
128048, 276
127860, 275
128048, 276
128048, 276
127900, 276
128048, 276
128070, 276
128778, 275
128048, 276
128068, 276
127926, 275
127912, 276
127926, 276
128876, 276
128048, 275
128930, 275
128062, 276
128048, 276
128076, 276
127810, 275
128944, 276
127924, 276
127926, 276
128048, 276
127926, 276
127900, 275
127900, 276
128988, 276
128048, 276
127802, 274
128048, 276
128048, 276
127912, 276
128048, 275
128100, 276
128102, 276
127830, 275
127918, 276
127810, 275
128064, 276
127926, 275
128048, 276
128568, 275
128048, 276
128082, 276
128048, 276
128048, 276
128096, 276
127900, 275
127900, 275
128568, 275
128048, 276
128072, 276
127900, 275
128048, 275
127918, 276
128072, 276
127918, 276
128188, 276
128878, 276
128048, 276
128080, 276
128048, 276
127926, 276
127926, 275
127908, 276
127814, 275
128048, 276
128066, 276
128086, 276
128698, 275
128086, 276
129108, 275
128056, 276
128062, 276
128048, 276
128060, 276
128740, 275
127924, 275
127926, 276
128048, 276
127926, 276
127926, 276
128034, 276
128048, 276
127926, 276
128028, 276
127926, 275
127926, 276
128096, 276
127900, 275
127882, 274
128048, 276
128048, 276
127926, 275
128050, 276
128048, 275
128048, 276
128030, 276
127926, 276
127868, 275
127926, 276
127926, 275
128048, 276
128048, 276
128034, 276
128188, 276
128048, 276
128048, 276
128048, 276
128048, 276
128090, 276
128876, 276
128568, 275
127926, 276
127926, 276
127800, 275
128048, 276
128048, 276
128922, 276
128048, 274
127852, 275
128188, 276
128048, 275
128048, 276
127926, 275
127876, 275
128048, 276
128048, 276
128048, 275
128562, 276
128048, 276
127926, 276
127926, 275
127926, 275
128030, 276
128048, 275
128938, 276
128938, 276
128188, 276
128048, 276
128090, 276
128048, 275
128752, 276
128556, 276
128048, 275
127926, 276
128088, 276
127926, 276
127926, 276
128188, 276
127922, 275
128740, 276
128960, 276
127926, 275
128060, 276
128752, 276
128048, 276
128188, 276
127832, 275
128076, 276
127926, 275
127900, 275
128048, 276
128048, 276
127914, 275
128098, 276
128048, 276
127926, 275
128054, 276
127874, 276
128590, 276
128092, 276
127926, 275
127808, 275
127926, 276
128048, 275
127900, 276
127926, 276
128048, 276
127926, 276
127808, 275
128188, 276
128048, 276
127926, 275
127826, 275
128188, 276
128048, 276
128048, 276
128048, 276
128048, 276
128568, 276
127926, 275
128048, 276
128188, 276
128188, 276
128842, 276
127918, 276
128048, 276
127926, 276
127926, 275
128048, 276
128992, 275
128048, 276
127926, 276
128048, 276
128188, 276
128048, 276
128048, 276
128876, 275
127900, 275
127904, 276
128048, 276
128048, 276
127926, 275
128048, 276
127900, 276
128568, 276
128048, 276
128724, 275
128742, 276
128048, 276
128574, 276
128188, 276
128048, 276
128066, 276
129000, 276
128048, 276
