#CPU cycle, #miss
102538, 281
102148, 278
102156, 278
102192, 279
101912, 275
102550, 281
102242, 278
102502, 280
101726, 274
102510, 281
101998, 277
102308, 279
102432, 280
102410, 281
101886, 276
102664, 282
102890, 284
102712, 282
102536, 281
102530, 281
102390, 280
102366, 280
102506, 281
101964, 276
102372, 280
102242, 278
102618, 281
102830, 283
101968, 276
103174, 286
102090, 277
101968, 276
102972, 286
102144, 277
102668, 282
102180, 278
102386, 280
102056, 277
102566, 281
102360, 279
102176, 278
102186, 277
102372, 280
102182, 277
102192, 279
102382, 280
102200, 279
102292, 279
102136, 278
102520, 281
102366, 280
102192, 278
102774, 283
102544, 281
102528, 281
101662, 274
102774, 283
102720, 282
102112, 278
102944, 285
102322, 279
102068, 277
102372, 280
102170, 278
102024, 277
102238, 279
102348, 279
101964, 277
101862, 275
102322, 280
102414, 280
102678, 282
102178, 279
102534, 282
101800, 275
102202, 279
102420, 280
102298, 279
102014, 277
102552, 281
102824, 283
102546, 281
102304, 279
102546, 281
101972, 276
102824, 283
102214, 278
102562, 282
102138, 277
102136, 278
102084, 277
102546, 281
102524, 281
102284, 279
102176, 279
101740, 275
101886, 277
102320, 278
102544, 280
102194, 277
102390, 279
102548, 282
102268, 279
102110, 278
102930, 284
101958, 277
102544, 281
103318, 289
102432, 280
102998, 284
102530, 282
101508, 271
102188, 278
102902, 284
102150, 278
102298, 279
102678, 282
102368, 281
102204, 279
102386, 280
102032, 276
102062, 277
102354, 279
102196, 278
102182, 279
102076, 277
102028, 277
101800, 275
102644, 282
102432, 280
102508, 281
102084, 277
102540, 280
102378, 280
102310, 279
102288, 279
101770, 275
102540, 281
102188, 277
102014, 277
101956, 276
102718, 283
102558, 280
102062, 276
102374, 281
102706, 282
102006, 277
102348, 279
102544, 281
102392, 281
101958, 276
101768, 275
102784, 283
102062, 277
101676, 274
102426, 280
102288, 279
102194, 278
103042, 285
102560, 282
102664, 281
102272, 279
102770, 283
102198, 279
102300, 279
102252, 279
101788, 275
102544, 282
102348, 279
102588, 280
101992, 277
102068, 277
102202, 278
101908, 276
102364, 280
102432, 280
102278, 279
102348, 280
102544, 281
102174, 277
102882, 284
101832, 275
102210, 278
102652, 281
102544, 281
102188, 278
102276, 279
103048, 285
102246, 279
102264, 278
103060, 285
102426, 280
102548, 282
102646, 283
102600, 282
102092, 278
102546, 281
102550, 281
102110, 278
102534, 281
102188, 278
102420, 280
102532, 282
102666, 282
102612, 281
102552, 280
102372, 279
102076, 277
102554, 281
101958, 277
102240, 280
102426, 280
102044, 277
102170, 279
102246, 279
101796, 275
102954, 284
102544, 281
102646, 282
102180, 278
102544, 281
102210, 278
102202, 278
102420, 280
102196, 278
102014, 277
102284, 279
102506, 282
102376, 280
102686, 283
102372, 280
102012, 277
102174, 278
101522, 272
102566, 281
101794, 276
102552, 281
102530, 282
102348, 279
102830, 283
102174, 278
102144, 277
102420, 280
101808, 274
102196, 280
102208, 279
102774, 283
102394, 281
102246, 279
102176, 279
102298, 279
102420, 281
102314, 279
102530, 281
102566, 281
102246, 279
102544, 281
102774, 283
102246, 279
102784, 283
102348, 279
102718, 282
102662, 281
102182, 278
101920, 275
102048, 277
103160, 286
102692, 282
102082, 277
102658, 282
102294, 279
102534, 281
101794, 275
102656, 282
102306, 279
102432, 280
102006, 277
102612, 281
102246, 279
102032, 278
101566, 273
101634, 272
102174, 278
101790, 275
101570, 273
102556, 280
102986, 285
102198, 277
102308, 279
