#CPU cycle, #miss
99916, 210
100262, 211
100396, 211
99942, 209
100100, 211
100262, 211
100262, 211
100396, 211
100262, 211
100276, 211
100396, 211
100396, 211
100100, 211
100100, 211
100100, 211
100262, 211
100396, 211
100396, 211
100100, 211
99774, 210
100094, 211
100262, 211
99774, 210
100276, 211
100262, 211
99942, 211
100276, 211
99942, 210
100264, 211
100094, 211
100100, 210
100274, 211
100406, 211
100262, 211
100262, 211
100268, 211
100400, 211
100262, 211
100096, 211
100276, 211
99942, 210
99942, 209
99778, 210
100100, 209
100262, 211
100100, 210
100262, 211
99772, 210
100100, 211
100262, 211
99780, 211
99774, 211
99772, 210
100418, 211
99916, 209
100262, 211
100262, 211
100100, 210
100264, 211
100100, 210
100396, 211
99788, 210
100262, 210
100262, 210
100270, 211
100268, 211
100100, 210
99942, 211
100270, 211
100262, 211
100100, 211
100100, 211
100100, 211
100262, 211
100094, 211
100276, 211
99780, 210
100256, 211
99788, 209
100094, 210
99942, 211
100268, 210
100100, 211
100256, 211
100274, 211
100396, 211
100406, 211
100262, 211
100100, 211
99942, 211
100270, 211
100100, 211
100100, 211
99942, 211
99772, 209
100100, 211
100088, 211
99942, 211
100100, 211
100100, 211
100090, 211
100268, 211
100100, 211
100262, 210
100262, 210
100096, 210
100264, 211
100396, 211
99942, 211
100276, 211
100100, 211
100264, 211
100396, 211
100646, 211
99942, 210
100256, 211
99942, 210
100100, 211
100100, 210
100396, 211
100262, 211
100094, 211
99944, 210
99916, 209
100396, 211
100100, 211
99774, 210
100396, 211
100262, 211
99942, 209
100398, 211
100100, 211
100262, 211
100100, 209
100100, 211
100100, 211
100096, 210
100270, 211
100100, 210
100262, 211
100100, 210
100100, 210
100100, 210
99942, 210
99780, 209
100404, 211
100262, 210
100100, 211
100276, 211
100276, 211
99942, 210
100396, 211
100396, 211
100264, 211
100100, 211
100088, 211
100396, 211
100100, 211
100100, 211
99942, 210
100400, 211
99942, 211
100396, 211
99774, 210
99942, 211
100276, 211
100100, 211
100396, 211
100100, 211
100262, 211
100100, 211
100096, 210
100274, 211
100262, 211
100276, 211
100396, 211
100264, 211
100100, 210
100396, 211
100100, 211
100100, 211
99942, 210
99778, 211
99786, 210
100100, 211
100270, 211
100396, 211
100396, 211
99780, 209
100262, 211
100100, 211
100100, 211
100100, 211
100262, 211
100270, 211
99916, 210
100410, 211
100282, 211
100100, 210
99942, 211
100396, 211
100100, 210
100262, 210
100396, 211
100100, 210
100396, 211
100396, 211
99942, 210
100270, 211
100642, 211
100100, 210
100262, 211
100404, 211
100270, 211
100100, 210
100418, 211
99942, 210
100646, 211
100252, 210
99778, 211
100262, 211
100100, 211
100396, 211
100262, 211
100262, 210
100396, 211
100262, 211
100398, 211
100100, 210
100262, 211
100088, 211
100280, 211
100262, 210
100396, 211
99942, 210
100100, 211
100074, 211
100262, 211
99942, 210
100276, 211
100270, 211
99766, 211
99768, 210
100094, 211
99788, 209
100396, 211
100100, 211
100100, 211
100396, 211
100100, 210
99592, 210
99780, 209
100396, 211
100396, 211
100262, 211
100100, 211
100262, 211
100100, 211
99942, 210
100100, 211
100262, 211
100262, 211
100270, 211
100396, 210
100262, 211
100410, 211
100100, 210
100262, 210
100406, 211
100396, 211
100276, 211
100396, 211
100400, 211
100396, 211
100270, 211
99942, 211
100100, 211
100396, 211
100410, 211
100100, 211
100088, 211
99780, 210
100100, 210
99942, 209
100274, 211
99942, 210
100262, 210
100100, 210
100100, 210
100100, 209
99780, 209
100268, 211
100396, 211
100268, 211
100262, 211
100262, 210
100404, 211
100096, 210
100100, 210
100646, 211
99774, 210
100262, 210
100100, 211
100276, 211
100396, 211
100262, 210
100396, 211
100396, 210
100090, 211
100100, 210
100100, 211
100262, 211
100100, 210
100100, 211
100646, 211
100276, 211
100262, 211
100096, 211
100100, 211
100262, 211
100280, 211
100100, 210
100274, 210
100088, 211
100100, 211
99916, 211
100100, 211
100100, 211
100088, 210
99942, 210
100270, 210
100100, 211
99766, 210
100276, 211
99942, 210
100100, 209
100262, 211
100100, 211
100400, 211
99916, 210
99788, 211
100282, 211
100262, 211
99942, 211
100262, 211
100100, 211
100100, 211
99786, 210
100276, 211
100262, 210
100276, 211
100100, 211
99780, 210
99788, 209
99766, 210
100270, 210
100100, 211
100410, 211
100262, 211
100262, 209
99942, 210
100264, 211
100100, 211
99942, 209
100268, 211
100090, 211
99922, 210
100100, 211
99942, 210
100100, 211
100262, 211
100270, 211
100262, 211
100100, 211
99766, 210
100262, 211
99788, 210
100094, 211
100100, 211
100262, 211
100094, 211
100100, 211
100100, 210
100270, 210
100100, 211
100276, 211
100396, 211
100100, 211
100262, 211
100094, 211
100396, 211
100100, 211
100100, 211
100262, 211
100262, 211
100262, 211
100096, 210
100274, 211
100100, 211
100100, 211
100270, 211
100100, 211
100096, 211
100100, 211
100262, 211
100270, 211
100396, 211
100262, 211
100262, 211
100270, 211
100100, 211
100262, 211
100100, 210
100276, 211
100262, 210
99942, 211
100096, 211
100100, 210
100094, 211
100396, 211
99774, 210
100262, 211
100100, 211
100264, 211
100094, 210
100396, 211
100100, 210
99942, 210
100262, 211
100262, 211
100404, 211
100258, 211
100646, 211
100100, 211
100398, 211
99942, 211
99788, 209
99942, 211
100396, 211
100396, 211
100396, 211
100396, 211
100262, 210
100100, 211
100276, 211
99942, 211
100100, 211
100264, 211
99772, 210
100100, 210
100412, 211
99942, 211
100262, 211
99942, 209
100100, 210
100646, 211
100100, 211
100276, 211
100100, 211
100276, 211
100396, 211
100262, 210
100262, 211
100268, 210
100410, 211
100398, 211
100100, 211
100282, 211
100262, 211
100276, 210
100262, 210
99942, 210
100282, 211
100410, 211
100100, 210
99942, 210
100100, 210
100100, 210
100262, 210
100100, 211
100268, 211
99942, 209
100262, 210
99788, 210
100262, 210
100100, 211
100396, 211
100268, 211
100270, 211
100096, 210
