#CPU cycle, #miss
90644, 237
90372, 234
90364, 235
90454, 235
90492, 235
90564, 236
90140, 232
90088, 232
90546, 236
90218, 233
90766, 237
90460, 235
90246, 233
90566, 236
90596, 236
90684, 237
90732, 238
90628, 236
90454, 235
90420, 234
90406, 235
90282, 234
90236, 233
90448, 235
90552, 236
90592, 236
90234, 233
90082, 231
90518, 235
90402, 234
90180, 233
90742, 237
90344, 234
90684, 237
90524, 236
90532, 236
90430, 235
90200, 232
90300, 234
90466, 235
90214, 234
90542, 236
90586, 236
90300, 233
90240, 233
90196, 233
90590, 236
90704, 237
90782, 238
90448, 235
90374, 234
90432, 235
90626, 236
90636, 236
90514, 235
90672, 237
90406, 234
90560, 236
90332, 234
90716, 237
90332, 234
90068, 232
90446, 235
90814, 238
90442, 235
90670, 237
90740, 237
90624, 237
90212, 233
90472, 235
90428, 235
90472, 235
90348, 234
90328, 234
90134, 232
90630, 236
90196, 233
90236, 233
90214, 233
90404, 235
90220, 233
90528, 235
90294, 233
89874, 230
90642, 236
90526, 235
90282, 233
90356, 234
90504, 236
90550, 236
90434, 235
90596, 236
90282, 233
90278, 233
90114, 232
90450, 235
90660, 237
90586, 236
90624, 237
90382, 234
90406, 234
90502, 236
90086, 232
90326, 234
90338, 234
90210, 233
90296, 234
90452, 235
90176, 233
89996, 231
90490, 235
90332, 234
90760, 237
90004, 231
90630, 236
90528, 235
90506, 235
90740, 238
90638, 236
90214, 233
90998, 239
90430, 234
90540, 236
90840, 238
90550, 236
90922, 239
90530, 236
90328, 234
90672, 237
90464, 235
89924, 230
90574, 236
90238, 233
90648, 237
90358, 234
90220, 233
90446, 235
90634, 236
90476, 235
90338, 234
90518, 235
90334, 234
90462, 235
90540, 236
90252, 233
90012, 232
90694, 237
90540, 236
90414, 234
90442, 235
90450, 235
90324, 234
90622, 236
90406, 234
90566, 236
90534, 236
90338, 234
90142, 232
90598, 236
89838, 229
90214, 233
90102, 232
90322, 234
89990, 231
90330, 234
90440, 235
90276, 234
90626, 236
90144, 232
90276, 233
90720, 237
90298, 234
90414, 234
90736, 237
90130, 232
90462, 235
90454, 235
90562, 236
89802, 230
90220, 233
90338, 234
90506, 235
90458, 235
