#CPU cycle, #miss
118782, 349
117488, 338
118108, 343
118734, 349
118334, 344
118060, 343
117632, 339
117606, 340
118226, 344
117430, 336
118534, 347
118204, 343
117654, 339
117382, 336
118496, 346
118334, 346
117556, 338
117804, 341
118422, 346
118446, 347
117772, 339
117896, 340
117656, 338
118086, 342
118300, 344
118424, 344
118028, 342
117880, 341
117880, 340
118458, 347
117890, 340
118498, 347
117724, 341
117886, 340
118272, 344
118288, 344
118422, 345
117376, 336
117766, 340
118652, 347
117544, 339
117910, 341
118166, 344
118384, 345
118198, 343
117990, 342
118278, 345
117654, 338
116504, 328
118476, 347
117696, 340
118614, 347
118198, 344
119022, 352
118028, 341
117750, 340
117766, 339
118504, 347
118874, 349
118028, 343
117996, 342
117878, 341
117264, 335
117752, 340
117582, 339
118494, 346
118534, 346
117998, 343
118092, 343
117206, 336
117442, 337
117724, 340
118022, 342
117016, 334
117576, 339
117690, 340
118540, 347
117134, 334
117488, 338
117768, 341
117586, 339
118076, 343
116990, 333
117884, 340
118298, 345
117326, 335
118720, 348
116954, 333
118188, 344
118134, 344
117936, 342
118624, 347
117774, 341
117352, 338
117600, 339
117096, 335
117388, 336
117864, 340
118608, 347
117784, 340
117678, 339
117172, 334
118568, 348
117878, 342
117996, 342
117346, 336
118258, 344
117810, 342
118134, 344
118600, 347
117352, 337
118396, 345
117896, 341
118782, 349
117678, 339
117810, 340
118384, 345
117768, 340
118664, 348
118108, 343
117948, 341
118054, 343
118932, 350
117942, 341
118278, 344
117212, 334
117980, 342
118104, 344
117556, 339
118120, 343
118390, 346
118306, 343
117576, 339
117886, 340
117606, 338
118334, 344
119222, 353
118160, 344
117654, 338
117942, 341
118304, 346
118328, 344
117768, 340
118946, 351
118322, 345
118014, 342
116842, 331
118384, 345
118028, 342
118622, 347
117768, 339
117554, 339
117852, 342
117488, 337
117692, 340
117662, 339
117324, 336
117768, 340
118216, 345
119070, 351
117134, 333
117810, 341
118114, 344
117576, 340
118002, 342
117060, 334
118002, 341
117488, 337
118300, 344
117768, 340
117430, 338
117936, 342
117458, 336
118054, 343
119034, 351
117886, 340
117128, 334
118172, 344
117914, 341
117534, 339
117102, 334
118166, 344
117464, 338
117886, 340
118646, 347
118080, 343
117662, 339
117376, 338
118054, 343
118022, 342
117992, 342
118054, 341
118706, 348
117862, 342
118422, 346
118002, 341
117774, 340
117862, 342
117494, 338
118002, 341
117784, 341
118120, 342
118358, 346
118232, 344
119052, 351
117334, 337
118054, 342
118278, 345
117438, 337
117922, 341
117778, 340
118188, 343
118728, 348
118054, 344
117766, 340
118246, 344
118022, 342
118638, 348
117712, 339
118036, 342
118534, 346
118246, 345
119050, 352
118570, 347
118598, 347
118172, 343
117352, 336
119308, 353
118390, 345
117464, 338
118008, 342
117776, 341
118610, 347
118214, 344
117234, 336
118974, 351
118272, 345
118744, 349
118168, 344
118226, 344
117432, 337
118104, 344
118108, 342
117998, 342
117856, 341
117768, 339
117996, 342
118220, 344
118418, 347
117984, 342
117724, 340
118086, 344
119328, 353
118394, 346
117936, 341
118810, 349
116870, 333
118104, 344
118198, 345
117100, 334
117458, 337
117582, 338
118640, 349
118300, 345
117124, 335
118198, 344
118530, 346
118534, 346
116928, 333
117494, 339
117542, 338
118022, 341
118664, 348
117886, 341
118306, 344
118646, 346
119198, 351
118104, 342
118334, 345
117998, 342
118640, 348
117068, 334
117544, 339
118636, 348
117790, 341
118762, 349
118120, 342
118252, 343
119070, 350
117606, 338
117830, 340
117548, 338
118424, 345
117690, 339
118894, 350
118774, 349
117880, 340
117066, 334
117122, 333
118160, 344
117884, 341
116354, 327
117948, 341
117600, 340
117214, 334
117606, 339
117570, 338
118834, 348
118192, 342
117690, 339
118510, 347
117462, 338
117208, 335
119028, 352
118014, 342
117902, 341
118086, 342
117600, 338
118226, 343
116798, 331
117458, 338
117270, 335
118764, 347
117984, 343
118774, 348
118104, 343
117376, 336
118252, 344
118086, 343
117382, 336
118394, 345
118008, 342
117878, 341
118440, 346
118112, 344
119298, 353
119128, 352
117016, 334
117158, 334
118002, 341
118226, 344
117488, 338
117326, 336
117336, 336
118768, 349
117234, 336
118022, 342
118104, 342
118194, 343
118028, 341
117570, 338
117958, 341
118864, 349
117878, 340
117948, 342
116724, 330
117718, 338
118534, 347
118970, 350
118002, 341
117778, 340
117766, 340
118416, 346
117600, 339
118710, 348
117560, 337
119028, 350
118608, 348
117146, 336
117772, 341
117606, 337
118564, 347
118664, 347
117856, 341
117060, 333
117358, 336
119040, 351
118952, 350
117458, 337
117550, 338
118706, 348
117632, 340
118792, 349
118166, 345
118616, 346
118082, 344
117996, 341
117898, 340
119074, 350
117766, 340
117878, 342
117784, 341
117976, 341
117766, 341
118226, 343
117798, 341
117784, 340
118418, 345
118204, 343
116872, 333
118344, 346
117134, 335
118552, 347
117494, 337
117666, 340
117656, 340
116990, 334
117134, 333
117576, 339
117494, 337
117758, 341
118048, 343
117500, 337
117772, 341
118110, 342
118664, 347
118788, 350
117376, 338
117712, 339
118304, 346
117612, 338
118114, 343
118022, 342
118504, 346
118328, 346
117612, 340
118306, 344
118166, 344
117270, 336
118608, 348
117982, 343
117774, 340
118892, 350
116842, 332
118198, 344
117656, 339
118310, 346
117774, 339
118316, 345
118526, 347
118272, 345
119028, 350
118900, 349
117858, 342
117772, 340
118598, 349
118172, 344
118188, 343
118626, 347
117986, 343
118496, 347
118190, 343
117992, 341
117488, 337
118304, 344
117560, 337
118782, 349
118278, 344
118192, 343
118384, 346
118390, 345
117804, 341
117772, 339
118048, 342
117318, 336
117768, 340
117430, 337
117320, 336
117824, 341
118598, 348
118048, 341
118252, 343
118534, 345
118086, 343
118172, 343
118134, 343
118880, 350
119310, 354
118676, 348
117656, 339
118328, 344
118894, 350
117724, 339
118618, 348
117102, 335
118272, 344
117666, 339
118564, 346
118338, 345
117128, 334
117766, 340
117494, 337
118172, 343
117878, 342
117556, 338
118166, 342
117382, 335
116878, 332
118080, 343
117104, 335
118188, 343
117880, 341
118246, 344
118114, 342
118452, 347
117612, 339
117998, 341
118252, 345
118478, 345
117640, 339
117784, 340
118534, 346
118054, 344
117878, 340
117890, 341
118104, 344
117696, 340
117880, 342
118998, 352
118384, 344
117868, 341
118834, 349
117118, 335
117976, 343
118358, 345
118840, 349
117560, 337
117382, 337
118728, 348
117650, 340
117824, 340
118232, 343
117724, 341
118774, 348
117606, 338
117798, 340
119050, 351
117458, 337
117606, 339
118390, 345
117324, 336
117946, 343
117318, 338
118512, 347
118082, 342
117382, 337
117990, 342
117600, 338
117548, 338
117992, 342
118166, 343
117612, 338
118160, 344
118010, 342
118140, 344
118416, 345
118214, 344
118316, 344
116730, 331
118090, 344
118310, 345
118328, 345
118910, 350
119310, 354
117660, 340
118028, 342
118734, 348
118002, 341
117600, 339
118558, 347
118682, 347
118534, 347
117942, 342
118818, 349
118176, 343
118300, 345
117548, 338
118478, 346
118534, 346
118470, 346
117596, 339
118422, 345
118008, 342
118310, 346
118086, 343
117444, 337
118396, 345
117376, 336
118134, 343
117974, 343
117464, 338
118316, 344
118204, 344
119128, 352
118436, 347
118204, 344
117910, 340
118534, 347
117240, 336
118004, 342
117364, 336
118232, 345
118022, 343
117606, 339
117600, 340
117658, 340
118390, 346
118390, 346
118160, 343
117910, 343
118278, 345
117152, 334
118284, 345
118054, 343
118064, 343
117804, 341
118008, 343
117444, 337
117696, 341
118300, 345
117346, 336
117804, 340
118682, 349
117434, 337
118428, 345
117772, 340
118782, 349
117660, 339
118446, 346
118458, 346
118114, 344
118028, 342
