#CPU cycle, #miss
83832, 201
84208, 204
84400, 206
84208, 205
84208, 204
84000, 203
84208, 204
84208, 204
84208, 204
84400, 205
84792, 209
84400, 206
84208, 204
84400, 205
84208, 204
83994, 203
84596, 208
84400, 206
84792, 209
84596, 207
84208, 204
84208, 205
84400, 206
84400, 206
84400, 206
84596, 207
84208, 204
84208, 205
84400, 206
84400, 206
83994, 203
84400, 206
83994, 203
84400, 206
83994, 203
84208, 205
84596, 207
84598, 208
84208, 204
84208, 204
83994, 203
84208, 204
84208, 205
84020, 202
84400, 206
84400, 205
84400, 205
84596, 207
84208, 204
84400, 206
84598, 208
84208, 204
84400, 205
84400, 205
84208, 204
84570, 208
84598, 208
84208, 205
84400, 206
84596, 208
84208, 204
83994, 203
84208, 204
83994, 203
84208, 204
84400, 206
84208, 204
84400, 205
84400, 205
84596, 207
84006, 203
84400, 206
84400, 205
84208, 204
84598, 208
84208, 205
84208, 205
84208, 204
84208, 204
84400, 206
83994, 203
84400, 205
84596, 207
84596, 208
84208, 205
84400, 205
84400, 206
84020, 202
84400, 205
84596, 207
84400, 206
84400, 205
83994, 203
83994, 203
83994, 203
84000, 203
84596, 207
84792, 209
84208, 204
84400, 206
83994, 203
84400, 206
84792, 209
84596, 207
84596, 208
83994, 203
84596, 207
83994, 203
84400, 206
84208, 204
84596, 207
84208, 204
84208, 204
84000, 203
84596, 207
84208, 204
84208, 204
84400, 205
84596, 208
84596, 207
84208, 204
84400, 206
84400, 206
83832, 201
84000, 203
84208, 204
84208, 204
84400, 206
84596, 207
84020, 202
83994, 203
84020, 202
84206, 205
84400, 205
84208, 204
84596, 207
84208, 205
84208, 204
84208, 204
84400, 205
84596, 207
84000, 203
84208, 204
84208, 204
84596, 207
84208, 204
84400, 205
84400, 206
84596, 207
84208, 204
84000, 203
84400, 205
83832, 201
84596, 207
83994, 203
84596, 207
84400, 205
84400, 206
84400, 206
84596, 208
84400, 205
84400, 205
84596, 207
84596, 207
84596, 207
84400, 206
84208, 204
84400, 205
84208, 204
84774, 210
84400, 206
84400, 206
84596, 207
83994, 203
84208, 204
83994, 203
